BBB Time,Mav Time,Mav Alt,Mav Lat,Mav Lon
03:46:27.944,17555763,63650,492563751,-1229224248
03:46:28.046,17555863,63650,492563752,-1229224247
03:46:28.156,17555963,63660,492563752,-1229224246
03:46:28.244,17556063,63670,492563753,-1229224246
03:46:28.337,17556163,63670,492563753,-1229224246
03:46:28.437,17556261,63680,492563753,-1229224246
03:46:28.537,17556363,63670,492563752,-1229224248
03:46:28.642,17556463,63670,492563752,-1229224250
03:46:28.740,17556563,63670,492563751,-1229224251
03:46:28.843,17556663,63660,492563751,-1229224253
03:46:28.948,17556763,63660,492563750,-1229224254
03:46:40.257,17568063,63780,492563720,-1229224241
03:46:40.357,17568166,63780,492563720,-1229224241
03:46:40.458,17568261,63770,492563720,-1229224240
03:46:40.758,17568561,63760,492563719,-1229224238
03:46:40.863,17568663,63750,492563719,-1229224237
03:46:40.968,17568766,63750,492563718,-1229224237
03:46:41.056,17568861,63750,492563718,-1229224237
03:46:41.159,17568963,63740,492563717,-1229224236
03:46:41.261,17569063,63740,492563717,-1229224235
03:46:41.359,17569163,63740,492563716,-1229224234
03:46:41.467,17569270,63740,492563715,-1229224234
03:46:41.564,17569363,63740,492563715,-1229224233
03:46:41.664,17569463,63740,492563715,-1229224233
03:46:41.764,17569563,63730,492563715,-1229224233
03:46:41.860,17569663,63730,492563715,-1229224234
03:46:41.970,17569763,63720,492563714,-1229224234
03:46:42.075,17569863,63720,492563714,-1229224234
03:46:42.165,17569963,63710,492563714,-1229224234
03:46:42.263,17570063,63710,492563713,-1229224234
03:46:42.370,17570168,63710,492563712,-1229224235
03:46:42.461,17570263,63710,492563712,-1229224235
03:46:42.566,17570363,63700,492563711,-1229224236
03:46:42.666,17570463,63700,492563710,-1229224236
03:46:42.761,17570563,63690,492563710,-1229224237
03:46:42.861,17570663,63690,492563709,-1229224237
03:46:42.972,17570763,63690,492563709,-1229224238
03:46:43.067,17570863,63680,492563708,-1229224238
03:46:43.162,17570961,63680,492563708,-1229224238
03:46:43.260,17571061,63670,492563708,-1229224238
03:46:43.372,17571168,63670,492563707,-1229224239
03:46:43.467,17571265,63670,492563707,-1229224239
03:46:43.563,17571363,63670,492563707,-1229224240
03:46:43.668,17571463,63660,492563707,-1229224240
03:46:43.768,17571563,63660,492563706,-1229224240
03:46:43.868,17571663,63660,492563706,-1229224241
03:46:43.973,17571763,63660,492563707,-1229224241
03:46:44.066,17571863,63660,492563708,-1229224241
03:46:44.163,17571961,63660,492563708,-1229224241
03:46:44.268,17572063,63660,492563708,-1229224241
03:46:44.373,17572168,63670,492563709,-1229224241
03:46:44.464,17572261,63670,492563709,-1229224242
03:46:44.564,17572363,63670,492563709,-1229224242
03:46:44.664,17572463,63670,492563710,-1229224242
03:46:44.769,17572563,63680,492563710,-1229224243
03:46:44.869,17572668,63680,492563709,-1229224243
03:46:44.980,17572768,63680,492563709,-1229224244
03:46:45.074,17572863,63680,492563709,-1229224245
03:46:47.077,17574868,63680,492563712,-1229224253
03:46:47.172,17574963,63680,492563712,-1229224253
03:46:47.267,17575063,63680,492563712,-1229224254
03:46:47.367,17575161,63680,492563712,-1229224254
03:46:47.477,17575266,63680,492563711,-1229224253
03:46:47.567,17575363,63680,492563711,-1229224253
03:46:47.672,17575463,63680,492563711,-1229224252
03:46:47.772,17575563,63680,492563711,-1229224252
03:46:47.872,17575663,63680,492563711,-1229224252
03:46:49.774,17577565,63680,492563715,-1229224255
03:46:49.874,17577663,63680,492563715,-1229224255
03:46:49.980,17577763,63680,492563715,-1229224255
03:46:50.080,17577863,63680,492563715,-1229224255
03:46:50.175,17577963,63680,492563715,-1229224255
03:46:50.275,17578063,63670,492563715,-1229224255
03:46:50.375,17578163,63670,492563715,-1229224256
03:46:50.470,17578261,63670,492563715,-1229224256
03:46:50.570,17578363,63670,492563715,-1229224256
03:46:50.675,17578468,63670,492563714,-1229224256
03:46:50.775,17578563,63670,492563714,-1229224257
03:46:50.875,17578663,63670,492563714,-1229224257
03:46:50.981,17578763,63670,492563714,-1229224257
03:46:51.081,17578863,63670,492563714,-1229224257
03:46:51.176,17578963,63660,492563714,-1229224257
03:46:51.271,17579063,63660,492563714,-1229224257
03:46:51.371,17579161,63650,492563714,-1229224258
03:46:51.476,17579263,63640,492563713,-1229224258
03:46:51.576,17579361,63640,492563713,-1229224258
03:46:51.672,17579463,63630,492563712,-1229224258
03:46:51.772,17579563,63620,492563712,-1229224257
03:46:51.877,17579663,63610,492563712,-1229224257
03:46:51.982,17579763,63610,492563711,-1229224257
03:46:52.077,17579863,63600,492563711,-1229224257
03:46:52.177,17579963,63590,492563712,-1229224256
03:46:52.277,17580063,63580,492563712,-1229224256
03:46:52.373,17580163,63570,492563712,-1229224254
03:46:52.485,17580273,63570,492563712,-1229224253
03:46:52.578,17580363,63560,492563712,-1229224252
03:46:52.678,17580463,63550,492563712,-1229224251
03:46:52.778,17580565,63540,492563713,-1229224249
03:46:52.874,17580661,63530,492563713,-1229224248
03:46:52.984,17580766,63520,492563713,-1229224246
03:46:53.084,17580863,63510,492563714,-1229224244
03:46:53.179,17580963,63500,492563714,-1229224243
03:46:53.279,17581063,63490,492563715,-1229224242
03:46:53.379,17581163,63490,492563715,-1229224242
03:46:53.475,17581263,63480,492563716,-1229224241
03:46:53.575,17581363,63470,492563715,-1229224240
03:46:53.680,17581463,63460,492563715,-1229224240
03:46:53.775,17581563,63450,492563714,-1229224239
03:46:53.880,17581663,63440,492563714,-1229224238
03:46:53.981,17581763,63430,492563714,-1229224237
03:46:54.085,17581861,63430,492563714,-1229224236
03:46:54.181,17581963,63420,492563713,-1229224236
03:46:54.281,17582063,63410,492563712,-1229224236
03:46:54.376,17582163,63400,492563711,-1229224235
03:46:54.486,17582266,63390,492563710,-1229224234
03:46:54.576,17582363,63380,492563709,-1229224233
03:46:54.681,17582463,63380,492563707,-1229224232
03:46:54.786,17582568,63370,492563705,-1229224231
03:46:54.881,17582663,63370,492563704,-1229224230
03:46:54.982,17582763,63360,492563703,-1229224230
03:46:55.077,17582863,63360,492563703,-1229224230
03:46:55.179,17582963,63350,492563702,-1229224229
03:46:55.282,17583063,63340,492563702,-1229224229
03:46:55.377,17583163,63340,492563703,-1229224228
03:46:55.482,17583263,63330,492563703,-1229224228
03:46:55.582,17583363,63320,492563703,-1229224228
