BBB Time,Piksi Lat,Piksi Lon,Piksi Alt
00:00:00.001,49.256364991214674,-122.92241531268643,25.224302443039157
00:00:00.102,49.25636205287328,-122.92241625887284,25.360864875813615
00:00:00.206,49.256359224326154,-122.92241698873188,25.40634133040812
00:00:00.303,49.256356516211746,-122.9224193711807,25.438039726188865
00:00:00.403,49.25635428794063,-122.92242112532118,25.500411411831088
00:00:00.504,49.25635320934414,-122.92242144867535,25.516944950990943
00:00:01.006,49.256349402947414,-122.92241716154435,25.69086514031646
00:00:01.107,49.2563492659641,-122.92241704471891,25.880835788398645
00:00:01.207,49.256350023079705,-122.9224168576832,25.956089212757256
00:00:01.308,49.25635115566777,-122.92241701781971,25.948677770726317
00:00:01.408,49.25635232154282,-122.9224168345113,26.011452005196297
00:00:01.508,49.256353784443306,-122.92241713080833,26.02165322908056
00:00:01.611,49.25635659320693,-122.92241486679269,25.977257022579188
00:00:01.711,49.25635970231644,-122.92241285861176,25.860558542122767
00:00:01.811,49.25636285666325,-122.92241172309707,25.788995748209345
00:00:01.911,49.25636543662015,-122.92241047714788,25.686253619476652
00:00:02.011,49.25636733093246,-122.92241014099042,25.61758385360538
00:00:02.113,49.256370042652264,-122.92240806814964,25.49818616573419
00:00:02.212,49.25637290456321,-122.92240636651032,25.519225972091437
00:00:02.315,49.25637426552351,-122.92240572395339,25.59003489596431
00:00:02.413,49.2563761852777,-122.92240327251784,25.679549736100086
00:00:02.514,49.256378250253675,-122.92240304631116,25.796765312903798
00:00:18.818,0.0,0.0,0.0
00:00:18.838,0.0,0.0,0.0
00:00:18.904,0.0,0.0,0.0
00:00:19.003,0.0,0.0,0.0
00:00:19.403,0.0,0.0,0.0
00:00:19.503,0.0,0.0,0.0
00:00:19.605,0.0,0.0,0.0
00:00:19.707,49.2563134499106,-122.9224272969998,30.75424308281912
00:00:19.806,49.25631050856023,-122.92242956289913,30.824156762879603
00:00:19.906,49.25630766766705,-122.9224299130196,30.854632446015255
00:00:20.007,49.25630507213469,-122.92242981922873,30.90973010662228
00:00:20.108,49.25630321051289,-122.92242931542093,30.892975598597822
00:00:20.210,49.25630226779053,-122.92242818893563,30.800451422170998
00:00:20.309,49.256301718678046,-122.92242701299472,30.755466161816607
00:00:20.410,49.25630018025074,-122.92242636867697,30.69196790557427
00:00:20.510,49.256300445549876,-122.9224255364714,30.525328705966718
00:00:20.611,49.25630175718498,-122.92242427983996,30.383616136546536
00:00:20.830,49.25630307028041,-122.92242324227453,30.15378308515178
00:00:20.850,49.25630381227817,-122.92242332374907,29.859745839006553
00:00:20.915,49.25630502560811,-122.92242277534992,29.578541153500684
00:00:21.015,49.25630558422455,-122.92242293283027,29.377558409025827
00:00:21.113,49.25630627418703,-122.92242313279579,29.275806581566563
00:00:21.214,49.25630715363106,-122.92242292776433,29.192583265670216
00:00:21.314,49.25630819712795,-122.9224228632724,29.095592034016118
00:00:21.415,49.25630914006049,-122.9224224809282,29.021352980552948
00:00:21.514,49.25631033853633,-122.922422561783,28.96929515402454
00:00:21.615,49.256310979738366,-122.92242282625529,28.91986306463328
00:00:21.718,49.25631175501794,-122.92242329925091,28.962033995972323
00:00:21.820,49.25631270284366,-122.92242375793037,28.984329372343556
00:00:21.920,49.256313146201435,-122.9224244302917,28.966842984964828
00:00:22.020,49.256313982793294,-122.92242502090598,28.958729840446214
00:00:22.118,49.25631447207539,-122.92242538594292,28.935281169274212
00:00:22.223,49.256315462175955,-122.92242391891855,28.936195397201892
00:00:22.320,49.25631619778329,-122.9224238620532,28.878150969004942
00:00:22.421,49.256316413506624,-122.9224225302011,28.81434206407665
00:00:22.520,49.25631678475009,-122.92242122381123,28.728703513913658
00:00:22.621,49.25631649420268,-122.92241959291759,28.647597176965785
00:00:22.842,49.25631575775977,-122.92241864424703,28.603744621473496
00:00:22.876,49.256315752082855,-122.92241723395924,28.662065087434282
00:00:22.922,49.256315337035296,-122.92241570967512,28.705132905419944
00:00:23.023,49.25631472637379,-122.92241435044492,28.72241547113947
00:00:23.124,49.256314806203726,-122.92241345632313,28.745234079201154
00:00:23.230,49.25631536875775,-122.92241274024961,28.822429045597755
00:00:23.326,49.25631613122537,-122.92241304203796,28.988077790788427
00:00:23.427,49.25631623990811,-122.92241400915044,29.14666203844919
00:00:23.526,49.25631631113705,-122.92241518263482,29.218626576305045
00:00:23.627,49.25631569820258,-122.92241576000048,29.25678392985838
00:00:23.729,49.25631581666004,-122.92241589192905,29.28309912054841
00:00:23.828,49.2563159715333,-122.92241587139799,29.30817706844124
00:00:23.928,49.25631669643389,-122.9224161520343,29.294545356611923
00:00:24.029,49.2563175872607,-122.9224165703718,29.227255671123988
00:00:24.129,49.25631826112354,-122.92241658167238,29.230436484755288
00:00:24.231,49.25631872738876,-122.92241721297793,29.257673529404315
00:00:24.331,49.25631958857271,-122.92241767459633,29.25236788012618
00:00:24.433,49.2563199059205,-122.92241771567636,29.239610300811407
00:00:24.532,49.25631942954622,-122.92241830596558,29.260513016886378
00:00:24.632,49.25631886342506,-122.92241821137756,29.27084848525685
00:00:24.852,49.2563193859005,-122.92241827019164,29.362010021749562
00:00:24.872,49.2563193222488,-122.92241873478818,29.324560067398618
00:00:24.937,49.25631969432005,-122.92241869819432,29.267333909318012
00:00:25.034,49.25631991029831,-122.92241888419593,29.166371607497965
00:00:25.134,49.256320133218445,-122.9224182622111,29.081390879988476
00:00:25.237,49.25632071245459,-122.92241679637058,29.029301524439447
00:00:25.337,49.25632062630836,-122.9224160612913,29.07858591154779
