BBB Time,Weeks,Secs,,,,,,,
26:37.6,2156,513333500,,0.115740741,0.1,,,,
26:37.8,2156,513333600,,0.207175926,0.1,,,,
26:37.8,2156,513333700,,0.025462963,0.1,,,,
26:37.9,2156,513333800,,0.148148148,0.1,,,,
26:38.0,2156,513333900,,0.079861111,0.1,,,,
26:38.1,2156,513334000,,0.12037037,0.1,,,,
26:38.2,2156,513334100,,0.113425926,0.1,,,,
26:38.3,2156,513334200,,0.112268519,0.1,,,,
26:38.4,2156,513334300,,0.134259259,0.1,,,,
26:38.5,2156,513334400,,0.094907407,0.1,,,,
26:38.6,2156,513334500,,0.116898148,0.1,,,,
26:38.7,2156,513334600,,0.115740741,0.1,,,,
26:38.8,2156,513334700,,0.112268519,0.1,,,,
26:38.9,2156,513334800,,0.135416667,0.1,,,,
26:39.0,2156,513334900,,0.096064815,0.1,,,,
26:39.1,2156,513335000,,0.115740741,0.1,,,,
26:39.2,2156,513335100,,0.114583333,0.1,,,,
26:39.3,2156,513335200,,0.116898148,0.1,,,,
26:39.4,2156,513335300,,0.130787037,0.1,,,,
26:39.5,2156,513335400,,0.097222222,0.1,,,,
26:39.6,2156,513335500,,0.115740741,0.1,,,,
26:39.8,2156,513335600,,0.207175926,0.1,,,,
26:39.8,2156,513335700,,0.023148148,0.1,,,,
26:39.9,2156,513335800,,0.130787037,0.1,,,,
26:40.0,2156,513335900,,0.09837963,0.1,,,,
26:40.1,2156,513336000,,0.115740741,0.1,,,,
26:40.2,2156,513336100,,0.116898148,0.1,,,,
26:40.3,2156,513336200,,0.114583333,0.1,,,,
26:40.4,2156,513336300,,0.130787037,0.1,,,,
26:40.5,2156,513336400,,0.09837963,0.1,,,,
26:40.6,2156,513336500,,0.115740741,0.1,,,,
26:40.7,2156,513336600,,0.114583333,0.1,,,,
26:40.8,2156,513336700,,0.114583333,0.1,,,,
26:40.9,2156,513336800,,0.12962963,0.1,,,,
26:41.0,2156,513336900,,0.099537037,0.1,,,,
26:41.1,2156,513337000,,0.118055556,0.1,,,,
26:41.2,2156,513337100,,0.113425926,0.1,,,,
