BBB Time,Mag Vals,Lamor
03:50:16.477,65609.051,413
03:50:16.577,65608.409,437
03:50:16.677,65608.795,398
03:50:16.777,65610.575,403
03:50:16.877,65608.706,391
03:50:16.977,65609.744,393
03:50:17.077,65610.219,391
03:50:17.178,65608.725,422
03:50:17.278,65604.987,398
03:50:17.378,65596.135,437
03:50:17.478,65609.833,400
03:50:17.578,65611.09,422
03:50:17.678,65610.782,422
03:50:17.778,65612.691,393
03:50:17.879,65611.772,398
03:50:17.979,65609.655,378
03:50:18.079,65608.647,383
03:50:18.179,65609.981,403
03:50:18.279,65612.128,408
03:50:18.380,65606.856,439
03:50:18.480,65610.99,396
03:50:18.580,65615.134,393
03:50:18.680,65615.757,381
03:50:18.780,65610.734,403
03:50:18.880,65615.194,422
03:50:18.980,65617.092,386
03:50:19.081,65617.34,386
03:50:19.181,65620.099,415
03:50:19.281,65616.302,386
03:50:19.381,65616.974,400
03:50:19.481,65617.904,400
03:50:19.581,65617.014,398
03:50:19.681,65612.187,417
03:50:19.782,65609.358,417
03:50:19.882,65616.558,400
03:50:19.982,65609.447,415
03:50:20.082,65612.395,425
03:50:20.182,65610.367,439
03:50:20.282,65609.981,386
03:50:20.383,65610.14,398
03:50:20.483,65612.147,391
03:50:20.583,65610.467,398
03:50:20.683,65612.602,388
03:50:20.783,65614.749,432
03:50:20.884,65613.403,386
03:50:20.984,65610.812,398
03:50:21.084,65608.113,420
03:50:21.184,65603.82,391
03:50:21.284,65609.625,405
03:50:21.384,65607.064,383
03:50:21.484,65612.157,396
03:50:21.585,65605.184,396
03:50:21.685,65610.971,417
03:50:21.785,65610.13,403
03:50:21.885,65603.049,420
03:50:21.985,65608.992,396
03:50:22.085,65610.615,417
03:50:22.185,65613.433,410
03:50:22.285,65607.36,400
03:50:22.385,65613.443,393
03:50:22.486,65611.583,415
03:50:22.586,65605.403,430
03:50:22.686,65611.494,391
03:50:22.786,65613.592,432
03:50:22.886,65612.217,386
03:50:22.986,65612.84,403
03:50:23.087,65611.109,396
03:50:23.187,65609.24,427
03:50:23.287,65611.001,425
03:50:23.387,65605.688,413
03:50:23.487,65607.271,430
03:50:23.587,65601.862,427
03:50:23.688,65606.826,405
03:50:23.788,65607.479,422
03:50:23.888,65612.751,444
03:50:23.988,65604.561,427
03:50:24.088,65612.276,398
03:50:24.189,65613.325,408
03:50:24.289,65609.892,381
03:50:24.389,65605.155,408
03:50:24.489,65609.922,427
03:50:24.589,65607.549,422
03:50:24.689,65607.865,388
03:50:24.790,65609.685,403
03:50:24.890,65612.306,410
03:50:24.990,65610.397,420
03:50:25.090,65614.363,417
03:50:25.190,65615.668,437
03:50:25.290,65613.196,417
03:50:25.391,65607.39,396
03:50:25.491,65613.651,420
03:50:25.591,65615.312,396
03:50:25.691,65612.78,420
03:50:25.791,65612.691,383
03:50:25.891,65613.403,422
03:50:25.992,65612.513,386
03:50:26.092,65610.367,405
03:50:26.192,65596.087,396
03:50:26.292,65608.517,405
03:50:26.392,65605.848,432
03:50:26.492,65609.892,410
03:50:26.592,65603.849,383
03:50:26.693,65602.722,427
03:50:26.793,65601.11,400
03:50:26.893,65605.937,391
03:50:26.993,65607.331,420
03:50:27.093,65606.074,396
03:50:27.193,65605.788,425
03:50:27.294,65605.225,403
03:50:27.394,65610.426,381
03:50:27.494,65611.168,398
03:50:27.594,65603.642,391
03:50:27.694,65610.367,415
03:50:27.794,65608.824,420
03:50:27.895,65601.525,383
03:50:27.995,65605.877,398
03:50:28.095,65609.032,391
03:50:28.195,65607.983,386
03:50:28.295,65611.445,388
03:50:28.395,65608.676,398
03:50:28.495,65607.894,410
03:50:28.596,65610.1,425
03:50:28.696,65608.884,410
03:50:28.796,65605.006,403
03:50:28.896,65611.297,420
03:50:28.996,65611.198,396
03:50:29.097,65613.948,391
03:50:29.197,65613.255,415
03:50:29.297,65612.128,388
03:50:29.397,65614.304,400
03:50:29.497,65610.693,435
03:50:29.597,65611.861,415
03:50:29.698,65611.02,422
03:50:29.798,65611.149,403
03:50:29.898,65609.892,425
03:50:29.998,65609.922,427
03:50:30.098,65609.625,403
03:50:30.198,65612.039,400
03:50:30.299,65611.979,408
03:50:30.399,65613.344,422
03:50:30.499,65607.568,398
03:50:30.599,65613.71,427
03:50:30.699,65613.67,437
03:50:30.799,65610.278,398
03:50:30.900,65611.712,408
03:50:31.000,65611.119,405
03:50:31.100,65613.611,405
03:50:31.200,65614.422,400
03:50:31.300,65614.838,388
03:50:31.400,65615.728,405
03:50:31.500,65614.649,400
03:50:31.601,65612.602,415
03:50:31.701,65612.157,425
03:50:31.801,65611.356,422
03:50:31.901,65612.602,410
03:50:32.001,65612.751,391
03:50:32.101,65611.564,393
03:50:32.201,65614.056,415
03:50:32.302,65610.763,415
03:50:32.402,65606.648,400
03:50:32.502,65605.748,393
03:50:32.602,65611.95,403
03:50:32.702,65612.513,398
03:50:32.803,65603.82,391
03:50:32.903,65608.38,378
03:50:33.003,65607.39,413
03:50:33.103,65612.365,386
03:50:33.203,65617.548,400
03:50:33.304,65614.986,391
03:50:33.404,65615.787,400
03:50:33.504,65611.109,393
03:50:33.604,65610.763,393
03:50:33.704,65611.732,396
03:50:33.804,65605.848,396
03:50:33.904,65609.299,405
03:50:34.004,65607.805,383
03:50:34.104,65607.42,420
03:50:34.204,65609.814,422
03:50:34.304,65606.489,388
03:50:34.405,65609.18,396
03:50:34.505,65606.975,396
03:50:34.605,65605.729,388
03:50:34.705,65611.594,413
03:50:34.805,65614.442,435
03:50:34.905,65614.66,413
03:50:35.005,65605.343,435
03:50:35.105,65609.863,437
03:50:35.205,65608.25,398
03:50:35.305,65609.18,400
03:50:35.406,65610.575,435
03:50:35.506,65611.623,422
03:50:35.606,65605.699,415
03:50:35.706,65611.376,410
03:50:35.806,65611.475,398
03:50:35.906,65608.558,403
03:50:36.006,65604.205,449
03:50:36.107,65609.151,396
03:50:36.207,65607.568,413
03:50:36.307,65608.528,393
03:50:36.407,65612.632,398
03:50:36.507,65613.67,381
03:50:36.607,65607.449,430
03:50:36.708,65611.475,403
03:50:36.808,65612.869,396
03:50:36.908,65610.219,435
03:50:37.008,65591.882,388
03:50:37.108,65603.583,408
03:50:37.208,65611.653,408
03:50:49.830,65609.596,437
03:50:49.931,65608.053,398
03:50:50.031,65607.627,435
03:50:50.131,65609.714,405
03:50:50.231,65608.487,410
03:50:50.532,65607.39,386
03:50:50.632,65603.405,425
03:50:50.732,65608.458,386
03:50:50.832,65604.235,432
03:50:50.932,65604.572,378
03:50:51.032,65608.043,435
03:50:51.132,65609.863,405
03:50:51.233,65608.973,430
03:50:51.333,65609.388,393
03:50:51.433,65608.487,393
03:50:51.533,65609.002,391
03:50:51.633,65609.269,432
03:50:51.733,65610.515,398
03:50:51.833,65603.968,393
03:50:51.934,65610.437,403
03:50:52.034,65607.598,425
03:50:52.134,65611.653,388
03:50:52.234,65610.931,422
03:50:52.334,65609.447,386
03:50:52.434,65607.479,383
03:50:52.535,65607.045,444
03:50:52.635,65610.1,442
03:50:52.735,65611.168,396
03:50:52.835,65612.543,420
03:50:52.935,65611.861,374
03:50:53.035,65608.528,393
03:50:53.135,65611.672,413
03:50:53.235,65612.751,386
03:50:53.336,65613.859,413
03:50:53.436,65607.004,398
03:50:53.536,65611.505,400
03:50:53.636,65613.166,420
03:50:53.736,65612.751,386
03:50:53.836,65610.515,396
03:50:53.937,65607.905,396
03:50:54.037,65609.625,417
03:50:54.137,65611.761,420
03:50:54.237,65615.016,396
03:50:54.337,65612.484,400
03:50:54.438,65610.17,393
03:50:54.538,65612.929,410
03:50:54.638,65609.447,405
03:50:54.738,65605.303,386
03:50:54.838,65609.329,410
03:50:54.939,65609.833,400
03:50:55.039,65608.706,403
03:50:55.139,65612.246,381
03:50:55.239,65604.146,427
03:50:55.339,65611.831,398
03:50:55.440,65608.873,403
03:50:55.540,65610.526,415
03:50:55.640,65598.607,396
03:50:55.740,65606.352,391
03:50:55.840,65605.451,398
03:50:55.940,65605.432,439
03:50:56.040,65596.668,427
03:50:56.140,65608.409,391
03:50:56.241,65605.095,439
03:50:56.341,65607.935,396
03:50:56.441,65608.487,408
03:50:56.541,65608.291,386
03:50:56.641,65602.949,388
03:50:56.741,65604.394,393
03:50:56.841,65601.851,400
03:50:56.942,65601.792,430
03:50:57.042,65603.286,427
03:50:57.142,65604.828,432
03:50:57.242,65602.633,405
03:50:57.342,65605.066,405
03:50:57.442,65606.648,386
03:50:57.543,65610.575,432
03:50:57.643,65606.945,413
03:50:57.743,65609.299,398
03:50:57.843,65607.757,400
03:50:57.943,65607.123,439
03:50:58.043,65602.919,413
03:50:58.144,65604.216,405
03:50:58.244,65594.285,417
03:50:58.344,65606.263,415
03:50:58.444,65608.439,400
03:50:58.544,65609.062,417
03:50:58.644,65600.15,417
03:50:58.744,65605.314,417
03:50:58.845,65609.081,432
03:50:58.945,65607.786,383
03:50:59.045,65600.328,398
03:50:59.145,65606.204,400
03:50:59.245,65597.836,405
03:50:59.345,65607.371,391
03:50:59.445,65607.242,396
03:50:59.545,65605.421,410
03:50:59.646,65609.685,396
03:50:59.746,65607.449,386
03:50:59.846,65613.087,439
03:50:59.946,65613.077,410
03:51:00.046,65606.856,393
03:51:00.146,65610.575,420
03:51:00.246,65613.325,432
03:51:00.347,65613.997,391
03:51:00.447,65611.95,386
03:51:00.547,65610.604,378
03:51:00.647,65608.291,408
03:51:00.747,65613.967,391
03:51:00.847,65612.899,435
03:51:00.947,65610.407,396
03:51:01.047,65611.969,403
03:51:01.147,65607.964,422
03:51:01.247,65603.286,437
03:51:01.348,65608.517,398
03:51:01.448,65608.973,403
03:51:01.548,65607.509,381
03:51:01.648,65594.711,400
03:51:01.748,65609.002,432
03:51:01.848,65608.339,408
03:51:01.949,65607.935,442
03:51:02.049,65609.922,430
03:51:02.149,65610.011,430
03:51:02.249,65608.202,405
03:51:02.349,65607.865,403
03:51:02.450,65607.835,381
03:51:02.550,65608.558,405
03:51:02.650,65604.354,391
03:51:02.750,65609.062,449
03:51:02.850,65607.746,439
03:51:02.950,65609.329,413
03:51:03.050,65597.124,388
03:51:03.150,65611.435,408
03:51:03.251,65609.625,425
03:51:03.351,65607.153,393
03:51:03.451,65609.992,425
03:51:03.551,65609.714,427
03:51:03.651,65610.189,400
03:51:03.751,65613.285,413
03:51:03.851,65611.06,408
03:51:03.951,65610.871,410
03:51:04.052,65607.271,405
03:51:04.152,65609.833,393
03:51:04.252,65608.35,396
03:51:04.352,65609.536,386
03:51:04.452,65608.013,391
03:51:04.552,65612.157,422
03:51:04.653,65611.178,422
03:51:04.753,65612.81,413
03:51:04.853,65611.683,410
03:51:04.953,65613.403,400
03:51:05.053,65608.25,417
03:51:05.153,65616.747,422
