BBB Time,Mag Vals,Lamor
03:37:02.007,69204.752,410
03:37:02.107,69206.703,393
03:37:02.207,69205.973,415
03:37:02.307,69203.959,430
03:37:02.407,69203.595,408
03:37:02.507,69206.317,396
03:37:02.607,69205.66,388
03:37:02.708,69204.878,437
03:37:02.808,69204.314,388
03:37:02.908,69204.866,417
03:37:03.008,69205.503,393
03:37:03.108,69205.483,398
03:37:03.208,69204.522,371
03:37:03.308,69203.333,364
03:37:03.408,69202.969,391
03:37:03.508,69201.163,386
03:37:03.608,69201.018,408
03:37:03.708,69200.381,432
03:37:03.809,69200.381,381
03:37:03.909,69201.581,383
03:37:04.009,69202.551,420
03:37:04.109,69200.944,386
03:37:04.209,69201.769,378
03:37:04.309,69202.708,400
03:37:04.409,69201.3,405
03:37:04.509,69202.551,415
03:37:04.609,69201.445,417
03:37:04.709,69200.424,388
03:37:04.810,69200.1,422
03:37:04.910,69200.287,405
03:37:05.010,69201.8,388
03:37:05.110,69200.381,442
03:37:05.210,69201.049,393
03:37:05.310,69200.538,427
03:37:05.410,69202.52,400
03:37:05.510,69201.288,396
03:37:05.610,69200.131,391
03:37:05.710,69201.55,422
03:37:05.811,69201.487,430
03:37:05.911,69201.507,396
03:37:06.011,69202.833,393
03:37:06.111,69202.562,415
03:37:06.211,69200.193,396
03:37:06.311,69202.332,408
03:37:06.412,69202.614,403
03:37:06.512,69186.246,413
03:37:06.612,69189.835,376
03:37:06.712,69208.581,447
03:37:06.812,69199.474,393
03:37:06.912,69198.806,410
03:37:07.012,69204.001,383
03:37:07.112,69198.712,408
03:37:07.212,69201.3,417
03:37:07.313,69203.521,408
03:37:07.413,69196.428,391
03:37:07.513,69200.037,388
03:37:07.613,69201.957,398
03:37:07.713,69196.021,388
03:37:07.813,69202.207,466
03:37:07.913,69200.193,400
03:37:08.013,69199.912,381
03:37:08.113,69202.207,388
03:37:08.214,69197.836,381
03:37:08.314,69194.832,398
03:37:08.414,69201.601,371
03:37:08.514,69198.473,432
03:37:08.614,69202.082,398
03:37:08.714,69199.662,415
03:37:08.814,69201.288,393
03:37:08.914,69200.424,430
03:37:09.014,69200.913,408
03:37:09.115,69201.519,408
03:37:09.215,69201.539,398
03:37:09.315,69202.082,400
03:37:09.415,69201.8,420
03:37:09.515,69202.051,403
03:37:09.615,69200.35,398
03:37:09.715,69201.456,400
03:37:09.816,69200.819,437
03:37:09.916,69200.663,420
03:37:10.016,69201.925,388
03:37:10.116,69201.143,393
03:37:10.216,69201.769,393
03:37:10.316,69200.882,427
03:37:10.416,69202.176,391
03:37:10.516,69202.27,413
03:37:10.617,69202.238,403
03:37:10.717,69201.82,400
03:37:10.817,69202.176,454
03:37:10.917,69201.957,420
03:37:11.017,69202.332,400
03:37:11.117,69201.706,420
03:37:11.217,69201.633,398
03:37:11.317,69206.922,396
03:37:11.417,69219.325,405
03:37:11.518,69237.446,398
03:37:11.618,69242.818,403
03:37:11.718,69242.849,432
03:37:11.818,69242.818,388
03:37:11.918,69241.503,400
03:37:12.018,69243.694,410
03:37:12.118,69241.847,435
03:37:12.219,69242.098,398
03:37:12.319,69242.286,393
03:37:12.419,69240.304,393
03:37:12.519,69241.566,430
03:37:12.619,69241.941,400
03:37:12.719,69242.505,396
03:37:12.820,69242.567,422
03:37:12.920,69242.943,396
03:37:13.020,69243.851,398
03:37:13.120,69245.113,405
03:37:13.220,69243.704,391
03:37:13.320,69242.661,386
03:37:13.421,69243.945,378
03:37:13.521,69242.974,427
03:37:13.621,69242.849,410
03:37:13.721,69242.818,396
03:37:13.821,69243.297,369
03:37:13.921,69243.006,391
03:37:14.022,69242.505,383
03:37:14.122,69242.943,381
03:37:14.222,69242.474,386
03:37:14.322,69242.661,386
03:37:14.422,69243.319,432
03:37:14.522,69242.004,417
03:37:14.623,69242.348,396
03:37:14.723,69242.536,435
03:37:14.823,69241.378,391
03:37:14.923,69242.067,398
03:37:15.023,69243.006,427
03:37:15.123,69241.65,417
03:37:15.224,69242.161,398
03:37:15.324,69242.63,381
03:37:15.424,69242.192,396
03:37:15.524,69242.661,391
03:37:15.624,69244.174,417
03:37:15.724,69241.838,388
03:37:15.824,69242.161,417
