BBB Time,Mav Time,Mav Alt,Mav Lat,Mav Lon
00:09:51.601,4614661,47560,492563400,-1229224183
00:09:51.704,4614761,47560,492563400,-1229224184
00:09:51.802,4614861,47570,492563400,-1229224184
00:09:51.902,4614961,47570,492563400,-1229224184
00:09:52.003,4615061,47580,492563400,-1229224184
00:09:52.103,4615161,47580,492563400,-1229224184
00:09:52.204,4615261,47590,492563400,-1229224184
00:09:52.304,4615361,47590,492563400,-1229224184
00:09:52.405,4615461,47600,492563400,-1229224185
00:09:52.505,4615561,47600,492563400,-1229224185
00:09:52.606,4615661,47610,492563400,-1229224185
00:11:02.249,4684962,47760,492563130,-1229224254
00:11:02.349,4685064,47760,492563129,-1229224252
00:11:02.550,4685269,47770,492563128,-1229224249
00:11:02.656,4685364,47770,492563127,-1229224247
00:11:02.761,4685464,47770,492563126,-1229224246
00:11:02.851,4685561,47770,492563126,-1229224245
00:11:02.952,4685664,47770,492563124,-1229224245
00:11:03.055,4685764,47770,492563123,-1229224244
00:11:03.151,4685862,47780,492563122,-1229224244
00:11:03.253,4685961,47780,492563120,-1229224243
00:11:03.354,4686069,47790,492563119,-1229224242
00:11:03.454,4686164,47790,492563118,-1229224241
00:11:03.552,4686261,47800,492563117,-1229224240
00:11:03.655,4686362,47800,492563116,-1229224239
00:11:03.758,4686461,47810,492563116,-1229224238
00:11:03.861,4686564,47810,492563115,-1229224237
00:11:03.957,4686664,47820,492563114,-1229224236
00:11:04.063,4686762,47820,492563113,-1229224236
00:11:04.158,4686864,47820,492563112,-1229224236
00:11:04.258,4686962,47820,492563111,-1229224235
00:11:04.363,4687064,47820,492563110,-1229224235
00:11:04.459,4687161,47820,492563109,-1229224235
00:11:04.559,4687261,47820,492563108,-1229224234
00:11:04.665,4687364,47820,492563107,-1229224234
00:11:04.760,4687464,47820,492563106,-1229224233
00:11:04.863,4687564,47820,492563105,-1229224232
00:11:04.961,4687664,47810,492563104,-1229224232
00:11:05.072,4687769,47810,492563103,-1229224231
00:11:05.176,4687867,47810,492563102,-1229224231
00:11:05.265,4687964,47800,492563101,-1229224231
00:11:05.363,4688061,47800,492563100,-1229224230
00:11:05.469,4688164,47800,492563098,-1229224230
00:11:05.564,4688264,47800,492563098,-1229224230
00:11:05.670,4688364,47800,492563097,-1229224230
00:11:05.765,4688464,47800,492563097,-1229224230
00:11:05.865,4688562,47800,492563097,-1229224230
00:11:05.968,4688664,47790,492563097,-1229224230
00:11:06.077,4688766,47790,492563097,-1229224230
00:11:06.172,4688869,47790,492563096,-1229224230
00:11:06.267,4688961,47790,492563096,-1229224230
00:11:06.367,4689062,47790,492563096,-1229224230
00:11:06.465,4689161,47790,492563096,-1229224230
00:11:06.568,4689261,47780,492563096,-1229224231
00:11:06.669,4689364,47780,492563096,-1229224231
00:11:06.769,4689462,47770,492563096,-1229224231
00:11:06.870,4689564,47770,492563097,-1229224232
00:11:06.970,4689662,47770,492563097,-1229224232
00:11:07.076,4689762,47760,492563097,-1229224232
00:11:07.169,4689862,47760,492563097,-1229224233
00:11:07.276,4689969,47760,492563097,-1229224233
00:11:07.375,4690064,47760,492563097,-1229224233
00:11:07.477,4690164,47760,492563097,-1229224233
00:11:07.580,4690269,47760,492563096,-1229224233
00:11:07.673,4690362,47760,492563096,-1229224233
00:11:07.774,4690464,47760,492563096,-1229224233
00:11:07.879,4690564,47760,492563096,-1229224233
00:11:07.980,4690664,47770,492563096,-1229224234
00:11:08.081,4690762,47770,492563096,-1229224234
00:11:08.186,4690864,47770,492563095,-1229224234
00:11:08.281,4690964,47770,492563094,-1229224235
00:11:08.377,4691061,47770,492563094,-1229224235
00:11:08.477,4691162,47770,492563093,-1229224235
00:11:08.578,4691262,47770,492563093,-1229224236
00:11:08.679,4691364,47780,492563092,-1229224236
00:11:08.779,4691469,47780,492563091,-1229224236
00:11:08.879,4691564,47770,492563091,-1229224237
00:11:08.985,4691664,47770,492563090,-1229224237
00:11:09.091,4691766,47770,492563090,-1229224238
00:11:09.186,4691862,47780,492563089,-1229224238
00:11:09.281,4691962,47780,492563089,-1229224239
00:11:09.382,4692064,47780,492563089,-1229224240
00:11:09.482,4692162,47790,492563089,-1229224240
00:11:09.583,4692264,47790,492563089,-1229224241
00:11:09.689,4692364,47800,492563089,-1229224241
00:11:09.789,4692464,47800,492563089,-1229224242
00:11:09.885,4692564,47810,492563088,-1229224242
00:11:09.985,4692661,47810,492563088,-1229224243
00:11:10.096,4692764,47820,492563087,-1229224243
00:11:10.199,4692864,47820,492563087,-1229224244
00:11:10.289,4692964,47820,492563086,-1229224244
00:11:10.387,4693062,47830,492563086,-1229224245
00:11:10.493,4693164,47830,492563086,-1229224245
00:11:10.593,4693264,47830,492563085,-1229224246
