BBB Time,Mav Time,Mav Alt,Mav Lat,Mav Lon
02:44:04.146,9842462,55420,492562709,-1229224016
02:44:04.245,9842562,55420,492562705,-1229224017
02:44:04.346,9842662,55410,492562701,-1229224018
02:44:04.450,9842768,55410,492562697,-1229224018
02:44:04.550,9842865,55400,492562693,-1229224018
02:44:04.645,9842962,55400,492562690,-1229224018
02:44:04.746,9843065,55400,492562686,-1229224019
02:44:04.849,9843165,55410,492562683,-1229224019
02:44:04.946,9843265,55410,492562680,-1229224019
02:44:05.054,9843368,55410,492562677,-1229224019
02:44:05.146,9843462,55410,492562674,-1229224020
02:44:05.251,9843565,55410,492562672,-1229224021
02:50:31.226,10228761,54760,492563470,-1229223921
02:50:31.324,10228863,54760,492563471,-1229223920
02:50:31.624,10229161,54770,492563472,-1229223920
02:50:31.724,10229261,54770,492563473,-1229223920
02:50:31.825,10229361,54770,492563473,-1229223920
02:50:31.927,10229461,54770,492563473,-1229223919
02:50:32.025,10229561,54770,492563474,-1229223919
02:50:32.125,10229661,54770,492563474,-1229223918
02:50:32.229,10229763,54770,492563474,-1229223918
02:50:32.325,10229863,54780,492563474,-1229223917
02:50:32.426,10229965,54780,492563475,-1229223916
02:50:32.526,10230061,54780,492563476,-1229223916
02:50:32.626,10230161,54780,492563476,-1229223915
02:50:32.726,10230261,54780,492563477,-1229223914
02:50:32.826,10230361,54780,492563477,-1229223914
02:50:32.926,10230461,54780,492563478,-1229223912
02:50:33.027,10230561,54790,492563479,-1229223911
02:50:33.127,10230661,54790,492563480,-1229223909
02:50:33.227,10230761,54790,492563481,-1229223908
02:50:33.327,10230861,54790,492563481,-1229223906
02:50:33.427,10230961,54800,492563482,-1229223905
02:50:33.530,10231066,54800,492563483,-1229223903
02:50:33.630,10231163,54800,492563484,-1229223902
02:50:33.728,10231261,54810,492563484,-1229223899
02:50:33.830,10231361,54810,492563485,-1229223897
02:50:33.928,10231461,54820,492563486,-1229223895
02:50:34.028,10231561,54830,492563487,-1229223893
02:50:34.128,10231661,54830,492563488,-1229223890
02:50:34.229,10231761,54840,492563489,-1229223887
