BBB Time,Piksi Lat,Piksi Lon,Piksi Alt
00:00:32.230,0.0,0.0,0.0
00:00:32.285,0.0,0.0,0.0
00:00:32.386,0.0,0.0,0.0
00:00:32.486,0.0,0.0,0.0
00:00:32.586,0.0,0.0,0.0
00:00:32.687,0.0,0.0,0.0
00:00:32.786,0.0,0.0,0.0
00:00:32.888,0.0,0.0,0.0
00:00:32.990,0.0,0.0,0.0
00:00:33.088,0.0,0.0,0.0
00:00:33.187,0.0,0.0,0.0
00:00:33.288,0.0,0.0,0.0
00:00:33.388,0.0,0.0,0.0
00:00:33.488,0.0,0.0,0.0
00:00:33.590,0.0,0.0,0.0
00:00:33.691,0.0,0.0,0.0
00:00:33.789,0.0,0.0,0.0
00:00:33.889,0.0,0.0,0.0
00:00:33.992,0.0,0.0,0.0
00:00:34.090,0.0,0.0,0.0
00:10:04.236,49.25629457026652,-122.92239583387199,26.999717003929966
00:10:04.338,49.25629084374608,-122.92238921678546,27.048564509232143
00:10:04.437,49.25628775351503,-122.92238316020556,27.127504723047426
00:10:04.538,49.25628552814915,-122.92237898715285,27.37407720187881
00:10:04.639,49.25628296416816,-122.92237523014717,27.695105165873308
00:10:04.845,49.25627898339774,-122.92237539511419,27.97533226861644
00:10:04.865,49.2562753713128,-122.9223754583444,28.32153592929251
00:10:04.940,49.256273275433124,-122.92237658637136,28.732388641265672
00:10:05.041,49.25627245835621,-122.92237737051965,29.13584891555629
00:10:05.141,49.2562724044034,-122.92237746831714,29.483827219362734
00:10:05.242,49.25627290064384,-122.92237894691085,29.778389187053637
00:10:05.343,49.2562749805926,-122.9223802773081,30.149478260003562
00:10:05.444,49.25627713937878,-122.92238320849215,30.460358229547204
00:10:05.543,49.256278791988365,-122.92238464729338,30.70367869787628
00:10:05.645,49.25628076146871,-122.92238481885207,30.926778004691638
00:10:05.745,49.25628282248132,-122.9223858146702,31.069517191419838
00:10:05.848,49.256284967938335,-122.92238627031779,31.179094777547085
00:10:05.945,49.25628433477295,-122.92238682674716,31.12900350974654
00:10:06.048,49.25628456117664,-122.92238867021189,31.109026845995903
00:10:06.147,49.25628612956318,-122.9223908157461,30.981682638720354
00:10:06.248,49.256287732373366,-122.92239185882012,30.903178826260667
00:10:06.350,49.25628867131056,-122.92239305307037,30.862332279081855
00:10:06.449,49.25628881160068,-122.92239290009621,30.970698658273918
00:10:06.550,49.256289110196505,-122.92239099533624,31.15884669042501
00:10:06.650,49.256288193002284,-122.9223900808861,31.38216125011139
00:10:06.846,49.25628974821169,-122.92239861083792,31.04904876730704
00:10:06.866,49.256291317804134,-122.92240463000853,30.68064497461228
00:10:06.956,49.2562920262173,-122.92240977678003,30.29175114583504
00:10:07.054,49.25629239556539,-122.92241219963732,30.024613502907233
00:10:07.155,49.256293419228776,-122.92241445886587,29.66378160610648
00:10:07.256,49.25629530711279,-122.922416873333,29.392306527131744
00:10:07.356,49.25629765385715,-122.92242027986082,29.074695205670032
00:10:07.456,49.2562998590446,-122.92242396433979,28.685445300895278
00:10:07.557,49.25630072202052,-122.92242553777173,28.361643806001386
00:10:07.657,49.25630119754018,-122.92242652463632,28.04236408448698
00:10:07.758,49.25630111716802,-122.9224258255527,27.6668575050939
00:10:07.859,49.256300904050086,-122.92242538932476,27.283697544406984
00:10:07.959,49.256299424329214,-122.92242463442426,26.99883446428796
00:10:08.060,49.25629819357705,-122.92242392051591,26.737152959790286
00:10:08.160,49.25629693056871,-122.92242360523585,26.58440211603782
00:10:08.262,49.25629448511138,-122.92242309737404,26.340713107835082
00:10:08.361,49.25629245827253,-122.92242163974763,26.14350242180336
00:10:08.462,49.25629103272476,-122.92242030720911,25.892713325137727
00:10:08.562,49.256291359553515,-122.92242064614852,25.719614278227024
00:10:08.663,49.25629209968545,-122.922419628951,25.509733413601257
00:10:08.857,49.25629302210405,-122.92241947908997,25.33359870029914
00:10:08.877,49.25629441999143,-122.92241935638495,25.224909469046455
00:10:08.966,49.25629654775658,-122.92241658091368,25.225215255094987
00:10:09.065,49.25629857173241,-122.9224144704697,25.36364765507626
00:10:09.166,49.25630025865603,-122.92241258602205,25.63365359105129
00:10:09.266,49.25630194800059,-122.92241242456218,25.860690631611597
00:10:09.371,49.256303899735656,-122.92241180350373,26.09950530241728
00:10:09.468,49.256305639705175,-122.92241019292156,26.332290468298805
00:10:09.569,49.25630758868996,-122.92240952192235,26.522678067736773
00:10:09.669,49.256308643161105,-122.92240958469385,26.60206815663982
00:10:09.769,49.25631093744202,-122.92241110804945,26.694571624304906
00:10:09.870,49.25631354850947,-122.92241004977471,26.83658012700672
00:10:09.974,49.25631552510883,-122.92240976984682,26.865307530902935
00:10:10.071,49.25631708508061,-122.92241170890058,26.874297383190083
00:10:10.171,49.25631763714469,-122.92241346776483,26.91761072168748
00:10:10.272,49.25631756524091,-122.92241567015648,27.010016054815967
00:10:10.373,49.25631689739991,-122.92241586639304,27.089116271308715
00:10:10.473,49.25631533007199,-122.92241587747664,27.126960733499928
00:10:10.574,49.2563135797387,-122.92241798329023,27.133464874682893
00:10:10.674,49.25631099842518,-122.92241795913229,27.24587141480581
00:10:10.868,49.25630872910496,-122.9224185288344,27.37511315116668
00:10:10.888,49.25630730834486,-122.92241895310316,27.450566248280555
00:10:10.978,49.25630651538349,-122.92241899565165,27.45189476720049
00:10:11.075,49.256305952326414,-122.92241928881626,27.396413910640863
00:10:11.176,49.256306237139356,-122.92241983882077,27.42061367221711
00:10:11.277,49.25630689780599,-122.9224210430261,27.38200054878932
