BBB Time,Weeks,Secs,,,,,,,,
01:54.3,2156,511842600,,,0.114583333,0.1,,,,
01:54.4,2156,511842700,,,0.116898148,0.1,,,,
01:54.5,2156,511842800,,,0.114583333,0.1,,,,
01:54.6,2156,511842900,,,0.126157407,0.1,,,,
01:54.7,2156,511843000,,,0.104166667,0.1,,,,
01:54.8,2156,511843100,,,0.113425926,0.1,,,,
01:54.9,2156,511843200,,,0.115740741,0.1,,,,
01:55.0,2156,511843300,,,0.114583333,0.1,,,,
01:55.1,2156,511843400,,,0.126157407,0.1,,,,
01:55.3,2156,511843500,,,0.155092593,0.1,,,,
01:55.3,2156,511843600,,,0.063657407,0.1,,,,
01:55.4,2156,511843700,,,0.116898148,0.1,,,,
01:55.5,2156,511843800,,,0.114583333,0.1,,,,
01:55.6,2156,511843900,,,0.125,0.1,,,,
01:55.7,2156,511844000,,,0.105324074,0.1,,,,
01:55.8,2156,511844100,,,0.114583333,0.1,,,,
01:55.9,2156,511844200,,,0.114583333,0.1,,,,
01:56.0,2156,511844300,,,0.116898148,0.1,,,,
01:56.1,2156,511844400,,,0.123842593,0.1,,,,
01:56.2,2156,511844500,,,0.105324074,0.1,,,,
01:56.3,2156,511844600,,,0.113425926,0.1,,,,
01:56.4,2156,511844700,,,0.116898148,0.1,,,,
01:56.5,2156,511844800,,,0.115740741,0.1,,,,
01:56.6,2156,511844900,,,0.122685185,0.1,,,,
01:56.7,2156,511845000,,,0.106481481,0.1,,,,
01:56.8,2156,511845100,,,0.114583333,0.1,,,,
01:56.9,2156,511845200,,,0.114583333,0.1,,,,
01:57.0,2156,511845300,,,0.114583333,0.1,,,,
01:57.1,2156,511845400,,,0.123842593,0.1,,,,
01:57.2,2156,511845500,,,0.153935185,0.1,,,,
01:57.3,2156,511845600,,,0.068287037,0.1,,,,
01:57.4,2156,511845700,,,0.113425926,0.1,,,,
01:57.5,2156,511845800,,,0.118055556,0.1,,,,
01:57.6,2156,511845900,,,0.12037037,0.1,,,,
01:57.7,2156,511846000,,,0.108796296,0.1,,,,
01:57.8,2156,511846100,,,0.114583333,0.1,,,,
01:57.9,2156,511846200,,,0.114583333,0.1,,,,
01:58.0,2156,511846300,,,0.114583333,0.1,,,,
01:58.1,2156,511846400,,,0.122685185,0.1,,,,
01:58.2,2156,511846500,,,0.108796296,0.1,,,,
01:58.3,2156,511846600,,,0.114583333,0.1,,,,
01:58.4,2156,511846700,,,0.118055556,0.1,,,,
01:58.5,2156,511846800,,,0.114583333,0.1,,,,
01:58.6,2156,511846900,,,0.119212963,0.1,,,,
01:58.7,2156,511847000,,,0.108796296,0.1,,,,
01:58.8,2156,511847100,,,0.114583333,0.1,,,,
01:58.9,2156,511847200,,,0.114583333,0.1,,,,
01:59.0,2156,511847300,,,0.114583333,0.1,,,,
01:59.1,2156,511847400,,,0.121527778,0.1,,,,
01:59.2,2156,511847500,,,0.153935185,0.1,,,,
01:59.3,2156,511847600,,,0.070601852,0.1,,,,
01:59.4,2156,511847700,,,0.118055556,0.1,,,,
01:59.5,2156,511847800,,,0.113425926,0.1,,,,
01:59.6,2156,511847900,,,0.118055556,0.1,,,,
01:59.7,2156,511848000,,,0.111111111,0.1,,,,
01:59.8,2156,511848100,,,0.114583333,0.1,,,,
01:59.9,2156,511848200,,,0.114583333,0.1,,,,
02:00.0,2156,511848300,,,0.114583333,0.1,,,,
02:00.1,2156,511848400,,,0.119212963,0.1,,,,
02:00.2,2156,511848500,,,0.112268519,0.1,,,,
02:00.3,2156,511848600,,,0.114583333,0.1,,,,
02:00.4,2156,511848700,,,0.114583333,0.1,,,,
02:00.5,2156,511848800,,,0.116898148,0.1,,,,
02:00.6,2156,511848900,,,0.116898148,0.1,,,,
02:00.7,2156,511849000,,,0.112268519,0.1,,,,
02:00.8,2156,511849100,,,0.114583333,0.1,,,,
02:00.9,2156,511849200,,,0.114583333,0.1,,,,
02:01.0,2156,511849300,,,0.115740741,0.1,,,,
02:01.1,2156,511849400,,,0.119212963,0.1,,,,
02:01.2,2156,511849500,,,0.170138889,0.1,,,,
02:01.3,2156,511849600,,,0.055555556,0.1,,,,
02:01.4,2156,511849700,,,0.114583333,0.1,,,,
02:01.5,2156,511849800,,,0.116898148,0.1,,,,
02:01.6,2156,511849900,,,0.115740741,0.1,,,,
02:01.7,2156,511850000,,,0.114583333,0.1,,,,
02:01.8,2156,511850100,,,0.113425926,0.1,,,,
02:01.9,2156,511850200,,,0.114583333,0.1,,,,
02:02.0,2156,511850300,,,0.119212963,0.1,,,,
02:02.1,2156,511850400,,,0.111111111,0.1,,,,
02:02.2,2156,511850500,,,0.115740741,0.1,,,,
02:02.3,2156,511850600,,,0.114583333,0.1,,,,
02:02.4,2156,511850700,,,0.115740741,0.1,,,,
