BBB Time,Weeks,Secs,,,,,,,,
02:30.9,2156,511879400,,,0.118055556,0.1,,,,
02:31.1,2156,511879500,,,0.174768519,0.1,,,,
02:31.1,2156,511879600,,,0.054398148,0.1,,,,
02:31.2,2156,511879700,,,0.114583333,0.1,,,,
02:31.3,2156,511879800,,,0.114583333,0.1,,,,
02:31.4,2156,511879900,,,0.114583333,0.1,,,,
02:31.5,2156,511880000,,,0.115740741,0.1,,,,
02:31.6,2156,511880100,,,0.113425926,0.1,,,,
02:31.7,2156,511880200,,,0.115740741,0.1,,,,
02:31.8,2156,511880300,,,0.114583333,0.1,,,,
02:31.9,2156,511880400,,,0.115740741,0.1,,,,
02:32.0,2156,511880500,,,0.114583333,0.1,,,,
02:32.1,2156,511880600,,,0.118055556,0.1,,,,
02:32.2,2156,511880700,,,0.113425926,0.1,,,,
02:32.3,2156,511880800,,,0.114583333,0.1,,,,
02:32.4,2156,511880900,,,0.115740741,0.1,,,,
02:32.5,2156,511881000,,,0.114583333,0.1,,,,
02:32.6,2156,511881100,,,0.113425926,0.1,,,,
02:32.7,2156,511881200,,,0.114583333,0.1,,,,
02:32.8,2156,511881300,,,0.115740741,0.1,,,,
02:32.9,2156,511881400,,,0.114583333,0.1,,,,
02:33.0,2156,511881500,,,0.159722222,0.1,,,,
02:33.1,2156,511881600,,,0.071759259,0.1,,,,
02:33.2,2156,511881700,,,0.114583333,0.1,,,,
02:33.3,2156,511881800,,,0.114583333,0.1,,,,
02:33.4,2156,511881900,,,0.114583333,0.1,,,,
02:33.5,2156,511882000,,,0.115740741,0.1,,,,
02:33.6,2156,511882100,,,0.114583333,0.1,,,,
02:33.7,2156,511882200,,,0.114583333,0.1,,,,
02:33.8,2156,511882300,,,0.115740741,0.1,,,,
02:33.9,2156,511882400,,,0.114583333,0.1,,,,
02:34.0,2156,511882500,,,0.115740741,0.1,,,,
02:34.1,2156,511882600,,,0.115740741,0.1,,,,
02:34.2,2156,511882700,,,0.113425926,0.1,,,,
02:34.3,2156,511882800,,,0.114583333,0.1,,,,
02:34.4,2156,511882900,,,0.115740741,0.1,,,,
02:34.5,2156,511883000,,,0.115740741,0.1,,,,
02:34.6,2156,511883100,,,0.114583333,0.1,,,,
02:34.7,2156,511883200,,,0.114583333,0.1,,,,
02:34.8,2156,511883300,,,0.118055556,0.1,,,,
02:34.9,2156,511883400,,,0.112268519,0.1,,,,
02:35.0,2156,511883500,,,0.16087963,0.1,,,,
02:35.1,2156,511883600,,,0.070601852,0.1,,,,
02:35.2,2156,511883700,,,0.113425926,0.1,,,,
02:35.3,2156,511883800,,,0.115740741,0.1,,,,
02:35.4,2156,511883900,,,0.113425926,0.1,,,,
02:35.5,2156,511884000,,,0.116898148,0.1,,,,
02:35.6,2156,511884100,,,0.113425926,0.1,,,,
02:35.7,2156,511884200,,,0.114583333,0.1,,,,
02:35.8,2156,511884300,,,0.115740741,0.1,,,,
02:35.9,2156,511884400,,,0.114583333,0.1,,,,
02:36.0,2156,511884500,,,0.115740741,0.1,,,,
02:36.1,2156,511884600,,,0.115740741,0.1,,,,
02:36.2,2156,511884700,,,0.115740741,0.1,,,,
02:36.3,2156,511884800,,,0.114583333,0.1,,,,
02:36.4,2156,511884900,,,0.113425926,0.1,,,,
02:36.5,2156,511885000,,,0.115740741,0.1,,,,
02:36.6,2156,511885100,,,0.114583333,0.1,,,,
02:36.7,2156,511885200,,,0.114583333,0.1,,,,
02:36.8,2156,511885300,,,0.114583333,0.1,,,,
02:36.9,2156,511885400,,,0.115740741,0.1,,,,
02:37.0,2156,511885500,,,0.159722222,0.1,,,,
02:37.1,2156,511885600,,,0.069444444,0.1,,,,
02:37.2,2156,511885700,,,0.116898148,0.1,,,,
02:37.3,2156,511885800,,,0.113425926,0.1,,,,
02:37.4,2156,511885900,,,0.118055556,0.1,,,,
02:37.5,2156,511886000,,,0.114583333,0.1,,,,
02:37.6,2156,511886100,,,0.113425926,0.1,,,,
02:37.7,2156,511886200,,,0.114583333,0.1,,,,
02:37.8,2156,511886300,,,0.114583333,0.1,,,,
02:37.9,2156,511886400,,,0.115740741,0.1,,,,
02:38.0,2156,511886500,,,0.115740741,0.1,,,,
02:38.1,2156,511886600,,,0.115740741,0.1,,,,
02:38.2,2156,511886700,,,0.115740741,0.1,,,,
02:38.3,2156,511886800,,,0.114583333,0.1,,,,
02:38.4,2156,511886900,,,0.115740741,0.1,,,,
02:38.5,2156,511887000,,,0.113425926,0.1,,,,
02:38.5,2156,511887100,,,0.114583333,0.1,,,,
02:38.6,2156,511887200,,,0.114583333,0.1,,,,
02:38.7,2156,511887300,,,0.115740741,0.1,,,,
02:38.8,2156,511887400,,,0.114583333,0.1,,,,
02:39.0,2156,511887500,,,0.159722222,0.1,,,,
02:39.0,2156,511887600,,,0.072916667,0.1,,,,
02:39.1,2156,511887700,,,0.114583333,0.1,,,,
02:39.2,2156,511887800,,,0.113425926,0.1,,,,
02:39.3,2156,511887900,,,0.114583333,0.1,,,,
02:39.4,2156,511888000,,,0.115740741,0.1,,,,
02:39.5,2156,511888100,,,0.114583333,0.1,,,,
02:39.6,2156,511888200,,,0.114583333,0.1,,,,
02:39.7,2156,511888300,,,0.115740741,0.1,,,,
02:39.8,2156,511888400,,,0.114583333,0.1,,,,
02:39.9,2156,511888500,,,0.115740741,0.1,,,,
02:40.0,2156,511888600,,,0.115740741,0.1,,,,
02:40.1,2156,511888700,,,0.115740741,0.1,,,,
02:40.2,2156,511888800,,,0.115740741,0.1,,,,
02:40.3,2156,511888900,,,0.112268519,0.1,,,,
02:40.4,2156,511889000,,,0.116898148,0.1,,,,
02:40.5,2156,511889100,,,0.113425926,0.1,,,,
02:40.6,2156,511889200,,,0.115740741,0.1,,,,
02:40.7,2156,511889300,,,0.113425926,0.1,,,,
02:40.8,2156,511889400,,,0.115740741,0.1,,,,
02:41.0,2156,511889500,,,0.177083333,0.1,,,,
02:41.0,2156,511889600,,,0.053240741,0.1,,,,
02:41.1,2156,511889700,,,0.116898148,0.1,,,,
02:41.2,2156,511889800,,,0.115740741,0.1,,,,
02:41.3,2156,511889900,,,0.112268519,0.1,,,,
02:41.4,2156,511890000,,,0.116898148,0.1,,,,
02:41.5,2156,511890100,,,0.113425926,0.1,,,,
02:41.6,2156,511890200,,,0.115740741,0.1,,,,
02:41.7,2156,511890300,,,0.114583333,0.1,,,,
02:41.8,2156,511890400,,,0.115740741,0.1,,,,
02:41.9,2156,511890500,,,0.114583333,0.1,,,,
02:42.0,2156,511890600,,,0.115740741,0.1,,,,
02:42.1,2156,511890700,,,0.113425926,0.1,,,,
02:42.2,2156,511890800,,,0.116898148,0.1,,,,
02:42.3,2156,511890900,,,0.113425926,0.1,,,,
02:42.4,2156,511891000,,,0.116898148,0.1,,,,
02:42.5,2156,511891100,,,0.113425926,0.1,,,,
02:42.6,2156,511891200,,,0.115740741,0.1,,,,
02:42.7,2156,511891300,,,0.114583333,0.1,,,,
02:42.8,2156,511891400,,,0.115740741,0.1,,,,
02:43.0,2156,511891500,,,0.159722222,0.1,,,,
02:43.0,2156,511891600,,,0.069444444,0.1,,,,
02:43.1,2156,511891700,,,0.116898148,0.1,,,,
02:43.2,2156,511891800,,,0.115740741,0.1,,,,
02:43.3,2156,511891900,,,0.112268519,0.1,,,,
02:43.4,2156,511892000,,,0.118055556,0.1,,,,
02:43.5,2156,511892100,,,0.114583333,0.1,,,,
02:43.6,2156,511892200,,,0.113425926,0.1,,,,
02:43.7,2156,511892300,,,0.12037037,0.1,,,,
02:43.8,2156,511892400,,,0.109953704,0.1,,,,
02:43.9,2156,511892500,,,0.115740741,0.1,,,,
02:44.0,2156,511892600,,,0.119212963,0.1,,,,
02:44.1,2156,511892700,,,0.114583333,0.1,,,,
02:44.2,2156,511892800,,,0.111111111,0.1,,,,
02:44.3,2156,511892900,,,0.118055556,0.1,,,,
02:44.4,2156,511893000,,,0.113425926,0.1,,,,
02:44.5,2156,511893100,,,0.114583333,0.1,,,,
02:44.6,2156,511893200,,,0.119212963,0.1,,,,
02:44.7,2156,511893300,,,0.114583333,0.1,,,,
02:44.8,2156,511893400,,,0.111111111,0.1,,,,
02:45.0,2156,511893500,,,0.163194444,0.1,,,,
02:45.0,2156,511893600,,,0.06712963,0.1,,,,
02:45.1,2156,511893700,,,0.115740741,0.1,,,,
02:45.2,2156,511893800,,,,,,,,
02:45.3,2156,511893900,,,,,,,,
02:45.4,2156,511894000,,,,,,,,
