BBB Time,Mag Vals,Lamor,,,Delta t,count,,threshold
25:10.6,14412.93,315,,,00:00.1,,,
25:10.7,14375.442,361,,,00:00.1,,,
25:10.8,14314.495,337,,,00:00.1,,,
25:10.9,14276.693,342,,,00:00.1,,,
25:11.0,14242.599,315,,,00:00.1,,,
25:11.1,14184.633,361,,,00:00.1,,,
25:11.2,14148.38,308,,,00:00.1,,,
25:11.3,14089.21,317,,,00:00.1,,,
25:11.4,14054.553,308,,,00:00.1,,,
25:11.5,14021.811,349,,,00:00.1,,,
25:11.6,13964.879,313,,,00:00.1,,,
25:11.7,13929.735,315,,,00:00.1,,,
25:11.8,13873.155,330,,,00:00.1,,,
25:11.9,13838.086,310,,,00:00.1,,,
25:12.1,13806.924,344,,,00:00.1,,,
25:12.2,13754.127,361,,,00:00.1,,,
25:12.3,13692.71,317,,,00:00.1,,,
25:12.4,13657.148,342,,,00:00.1,,,
25:12.5,13604.131,315,,,00:00.1,,,
25:12.6,13569.95,337,,,00:00.1,,,
25:12.7,13515.032,315,,,00:00.1,,,
25:12.8,13460.611,342,,,00:00.1,,,
25:12.9,13451.415,308,,,00:00.1,,,
25:13.0,13401.091,354,,,00:00.1,,,
25:13.1,13369.604,330,,,00:00.1,,,
25:13.2,13318.022,347,,,00:00.1,,,
25:13.3,13286.129,332,,,00:00.1,,,
25:13.4,13234.162,337,,,00:00.1,,,
25:13.5,13181.204,315,,,00:00.1,,,
25:13.6,13149.82,317,,,00:00.1,,,
25:13.7,13143.758,332,,,00:00.1,,,
25:13.8,13097.133,334,,,00:00.1,,,
25:13.9,13065.909,347,,,00:00.1,,,
25:14.0,13015.974,347,,,00:00.1,,,
25:14.1,12965.026,315,,,00:00.1,,,
25:14.2,12933.229,347,,,00:00.1,,,
25:14.3,12884.861,344,,,00:00.1,,,
25:14.4,12876.123,320,,,00:00.1,,,
25:14.5,12831.076,337,,,00:00.1,,,
25:14.6,12781.774,352,,,00:00.1,,,
25:14.7,12751.262,313,,,00:00.1,,,
25:14.8,12703.638,325,,,00:00.1,,,
25:14.9,12675.283,337,,,00:00.1,,,
25:15.0,12648.48,317,,,00:00.1,,,
25:15.1,12602.09,332,,,00:00.1,,,
25:15.2,12574.11,313,,,00:00.1,,,
25:15.3,12547.369,337,,,00:00.1,,,
25:15.4,12501.175,315,,,00:00.1,,,
25:15.5,12494.391,359,,,00:00.1,,,
25:15.6,12471.129,330,,,00:00.1,,,
25:15.7,12428.899,305,,,00:00.1,,,
25:15.8,12401.053,327,,,00:00.1,,,
25:15.9,12355.76,308,,,00:00.1,,,
25:16.0,12327.24,330,,,00:00.1,,,
25:16.1,12302.534,325,,,00:00.1,,,
25:16.2,611.782,337,,,00:00.1,,,
25:16.3,0,342,,,00:00.1,,,
25:16.4,0,322,,,00:00.1,,,
25:16.5,0,313,,,00:00.1,,,
25:16.6,0,310,,,00:00.1,,,
25:16.7,2.858,337,,,00:00.1,,,
25:17.8,198591.84,337,,,00:01.1,,,
25:17.9,183030.495,305,,,00:00.1,,,
25:18.0,176742.74,347,,,00:00.1,,,
25:18.1,167771.383,342,,,00:00.1,,,
25:18.2,162754.975,315,,,00:00.1,,,
25:18.3,155315.288,310,,,00:00.1,,,
25:18.4,150992.078,310,,,00:00.1,,,
25:18.5,144445.17,313,,,00:00.1,,,
25:18.6,140902.629,320,,,00:00.1,,,
25:18.7,135485.012,334,,,00:00.1,,,
25:18.8,129928.412,325,,,00:00.1,,,
25:18.9,124805.807,320,,,00:00.1,,,
25:19.0,122006.48,320,,,00:00.1,,,
25:19.1,117835.548,308,,,00:00.1,,,
25:19.2,115313.743,354,,,00:00.1,,,
25:19.3,111479.819,337,,,00:00.1,,,
25:19.4,109275.815,315,,,00:00.1,,,
25:19.5,105711.988,337,,,00:00.1,,,
25:19.6,102432.665,313,,,00:00.1,,,
25:19.7,99387.791,310,,,00:00.1,,,
25:19.8,97456.42,332,,,00:00.1,,,
25:19.9,95965.258,330,,,00:00.1,,,
25:20.0,93357.372,313,,,00:00.1,,,
25:20.1,90800.806,325,,,00:00.1,,,
25:20.2,89338.297,337,,,00:00.1,,,
25:20.3,89035.521,352,,,00:00.1,,,
25:20.4,86932.347,347,,,00:00.1,,,
25:20.5,85572.245,308,,,00:00.1,,,
25:20.6,83398.579,352,,,00:00.1,,,
25:20.7,81381.48,310,,,00:00.1,,,
25:20.8,80222.89,313,,,00:00.1,,,
25:20.9,79163.977,330,,,00:00.1,,,
25:21.0,78126.019,317,,,00:00.1,,,
25:21.1,77305.896,356,,,00:00.1,,,
25:21.2,76351.289,310,,,00:00.1,,,
25:21.3,75419.274,349,,,00:00.1,,,
25:21.4,74510.332,320,,,00:00.1,,,
25:21.5,72885.274,315,,,00:00.1,,,
25:21.6,72009.314,352,,,00:00.1,,,
25:21.7,71198.36,305,,,00:00.1,,,
25:21.8,70369.468,334,,,00:00.1,,,
25:21.9,68964.813,310,,,00:00.1,,,
25:22.0,68719.217,317,,,00:00.1,,,
25:22.1,67412.091,308,,,00:00.1,,,
25:22.2,66107.061,315,,,00:00.1,,,
25:22.3,64736.992,332,,,00:00.1,,,
25:22.4,63951.43,320,,,00:00.1,,,
25:22.5,63860.485,330,,,00:00.1,,,
25:22.6,63326.695,352,,,00:00.1,,,
25:22.7,62167.659,310,,,00:00.1,,,
25:22.8,61459.138,310,,,00:00.1,,,
25:22.9,60381.751,313,,,00:00.1,,,
25:23.0,59728.765,347,,,00:00.1,,,
25:23.1,58247.794,337,,,00:00.1,,,
25:23.2,57564.813,339,,,00:00.1,,,
25:23.3,56588.342,310,,,00:00.1,,,
25:23.4,56016.887,320,,,00:00.1,,,
25:23.5,55539.702,339,,,00:00.1,,,
25:23.6,55038.603,322,,,00:00.1,,,
25:23.7,54540.282,327,,,00:00.1,,,
25:23.8,54086.95,325,,,00:00.1,,,
25:23.9,53256.399,310,,,00:00.1,,,
25:24.0,52753.834,337,,,00:00.1,,,
25:24.1,51950.612,334,,,00:00.1,,,
25:24.2,51821.143,320,,,00:00.1,,,
25:24.3,50744.34,300,,,00:00.1,,,
25:24.4,50233.967,310,,,00:00.1,,,
25:24.5,49493.808,349,,,00:00.1,,,
25:24.6,49392.384,317,,,00:00.1,,,
25:24.7,49088.337,315,,,00:00.1,,,
25:24.8,48400.176,332,,,00:00.1,,,
25:24.9,48256.591,327,,,00:00.1,,,
25:25.0,47605.373,347,,,00:00.1,,,
25:25.1,46932.804,298,,,00:00.1,,,
25:25.2,46531.693,361,,,00:00.1,,,
25:25.3,45895.64,298,,,00:00.1,,,
25:25.4,45553.592,354,,,00:00.1,,,
25:25.5,44947.438,303,,,00:00.1,,,
25:25.6,44586.178,325,,,00:00.1,,,
25:25.7,44248.001,334,,,00:00.1,,,
25:25.8,43674.236,349,,,00:00.1,,,
25:25.9,43340.089,344,,,00:00.1,,,
25:26.0,42823.941,339,,,00:00.1,,,
25:26.1,42473.416,303,,,00:00.1,,,
25:26.2,41936.863,310,,,00:00.1,,,
25:26.3,41639.337,376,,,00:00.1,,,
25:26.4,41370.121,354,,,00:00.1,,,
25:26.5,40881.562,308,,,00:00.1,,,
25:26.6,40570.618,320,,,00:00.1,,,
25:26.7,40296.404,308,,,00:00.1,,,
25:26.8,40034.073,366,,,00:00.1,,,
25:26.9,39580.754,300,,,00:00.1,,,
25:27.0,39305.211,313,,,00:00.1,,,
25:27.1,39052.405,325,,,00:00.1,,,
25:27.2,38833.653,342,,,00:00.1,,,
