BBB Time,Mag Vals,Lamor,,,Delta t,count,,threshold
13:45.4,37020.567,308,,,00:00.1,,,
13:45.5,36792.187,339,,,00:00.1,,,
13:45.6,36410.194,322,,,00:00.1,,,
13:45.7,36167.162,320,,,00:00.1,,,
13:45.8,35779.487,325,,,00:00.1,,,
13:45.9,35545.371,320,,,00:00.1,,,
13:46.0,35175.587,305,,,00:00.1,,,
13:46.1,34946.666,339,,,00:00.1,,,
13:46.2,34770.103,354,,,00:00.1,,,
13:46.3,34577.073,300,,,00:00.1,,,
13:46.4,34225.005,315,,,00:00.1,,,
13:46.5,33859.819,320,,,00:00.1,,,
13:46.6,33656.254,317,,,00:00.1,,,
13:46.7,33475.079,339,,,00:00.1,,,
13:46.8,33305.589,330,,,00:00.1,,,
13:46.9,33124.673,337,,,00:00.1,,,
13:47.0,32787.248,315,,,00:00.1,,,
13:47.1,32467.972,334,,,00:00.1,,,
13:47.2,32278.942,352,,,00:00.1,,,
13:47.3,31987.163,337,,,00:00.1,,,
13:47.4,31792.784,339,,,00:00.1,,,
13:47.5,31628.646,310,,,00:00.1,,,
13:47.6,31338.982,313,,,00:00.1,,,
13:47.7,31171.971,315,,,00:00.1,,,
13:47.8,30892.394,344,,,00:00.1,,,
13:47.9,30837.752,308,,,00:00.1,,,
13:48.0,30703.969,317,,,00:00.1,,,
13:48.1,30428.264,310,,,00:00.1,,,
13:48.2,30156.878,332,,,00:00.1,,,
13:48.3,29990.704,339,,,00:00.1,,,
13:48.4,29846.49,332,,,00:00.1,,,
13:48.5,29705.626,320,,,00:00.1,,,
13:48.6,29452.522,313,,,00:00.1,,,
13:48.7,29294.266,315,,,00:00.1,,,
13:48.8,29044.499,364,,,00:00.1,,,
13:48.9,28893.614,320,,,00:00.1,,,
13:49.0,28756.966,320,,,00:00.1,,,
13:49.1,28521.729,320,,,00:00.1,,,
13:49.2,28478.182,317,,,00:00.1,,,
13:49.3,28356.04,320,,,00:00.1,,,
13:49.4,28124.059,332,,,00:00.1,,,
13:49.5,27983.122,337,,,00:00.1,,,
13:49.6,27769.037,349,,,00:00.1,,,
13:49.7,27629.939,313,,,00:00.1,,,
13:49.8,27411.109,315,,,00:00.1,,,
13:49.9,27269.93,322,,,00:00.1,,,
13:50.0,27147.605,327,,,00:00.1,,,
13:50.1,27030.26,356,,,00:00.1,,,
13:50.2,26820.08,308,,,00:00.1,,,
13:50.3,26788.835,337,,,00:00.1,,,
13:50.4,26595.952,344,,,00:00.1,,,
13:50.5,26471.769,339,,,00:00.1,,,
13:50.6,26265.239,330,,,00:00.1,,,
13:50.7,26140.818,310,,,00:00.1,,,
13:50.8,26029.103,300,,,00:00.1,,,
13:50.9,25835.11,349,,,00:00.1,,,
13:51.0,25715.173,298,,,00:00.1,,,
13:51.1,25607.255,332,,,00:00.1,,,
13:51.2,25509.543,300,,,00:00.1,,,
13:51.3,25399.829,308,,,00:00.1,,,
13:51.4,25214.087,310,,,00:00.1,,,
13:51.5,25105.686,344,,,00:00.1,,,
13:51.6,25004.668,325,,,00:00.1,,,
13:51.7,24904.649,317,,,00:00.1,,,
13:51.8,24724.037,308,,,00:00.1,,,
13:51.9,24534.009,337,,,00:00.1,,,
24:31.6,15816.309,332,,,,,,
