BBB Time,Mag Vals,Lamor,,,
09:13.9,66436.613,374,,,0.115740741
09:14.0,66435.256,422,,,0.116898148
09:14.1,66437.419,366,,,0.115740741
09:14.2,66438.205,405,,,0.115740741
09:14.3,66437.213,376,,,0.115740741
09:14.4,66436.578,391,,,0.116898148
09:14.5,66438.715,388,,,0.115740741
09:14.6,66432.158,381,,,0.115740741
09:14.7,66436.578,374,,,0.115740741
09:14.8,66430.921,376,,,0.116898148
09:14.9,66439.05,386,,,0.115740741
09:15.0,66439.406,413,,,0.115740741
09:15.1,66436.638,405,,,0.115740741
09:15.2,66437.514,386,,,0.116898148
09:15.3,66438.475,430,,,0.115740741
09:15.4,66437.058,393,,,0.115740741
09:15.5,66436.132,378,,,0.116898148
09:15.6,66438.956,396,,,0.115740741
09:15.7,66438.114,425,,,0.115740741
09:15.8,66436.398,393,,,0.115740741
09:15.9,66437.028,388,,,0.116898148
09:16.0,66431.227,398,,,0.115740741
09:16.1,66436.458,388,,,0.115740741
09:16.2,66436.943,378,,,0.115740741
09:16.3,66437.779,403,,,0.116898148
09:16.4,66436.973,405,,,0.115740741
09:16.5,66437.629,376,,,0.115740741
09:16.6,66437.123,391,,,0.115740741
09:16.7,66437.844,396,,,0.116898148
09:16.8,66436.157,381,,,0.115740741
09:16.9,66436.638,381,,,0.115740741
09:17.0,66436.968,383,,,0.116898148
09:17.1,66437.784,381,,,0.115740741
09:17.2,66436.853,381,,,0.115740741
09:17.3,66435.046,391,,,0.115740741
09:17.4,66436.277,376,,,0.115740741
09:17.5,66436.818,378,,,0.116898148
09:17.6,66435.737,393,,,0.115740741
09:17.7,66437.183,405,,,0.115740741
09:17.8,66437.239,403,,,0.115740741
09:17.9,66436.578,386,,,0.116898148
09:18.0,66435.587,381,,,0.115740741
09:18.1,66436.883,415,,,0.115740741
09:18.2,66437.484,371,,,0.115740741
09:18.3,66435.857,410,,,0.115740741
09:18.4,66436.878,381,,,0.116898148
09:18.5,66438.024,393,,,0.115740741
09:18.6,66436.518,415,,,0.115740741
09:18.7,66435.737,383,,,0.115740741
09:18.8,66436.187,474,,,0.116898148
09:18.9,66437.003,383,,,0.115740741
09:19.0,66436.848,374,,,0.115740741
09:19.1,66436.518,405,,,0.116898148
09:19.2,66437.574,405,,,0.115740741
09:19.3,66437.364,396,,,0.115740741
09:19.4,66437.934,388,,,0.115740741
09:19.5,66436.398,388,,,0.116898148
09:19.6,66437.058,405,,,0.115740741
09:19.7,66437.093,427,,,0.115740741
09:19.8,66437.689,435,,,0.115740741
09:19.9,66436.372,415,,,0.116898148
09:20.0,66437.118,415,,,0.115740741
09:20.1,66436.793,408,,,0.115740741
09:20.2,66435.977,383,,,0.116898148
09:20.3,66436.638,381,,,0.115740741
09:20.4,66437.028,388,,,0.115740741
09:20.5,66436.703,383,,,0.115740741
09:20.6,66436.488,376,,,0.115740741
09:20.7,66436.913,413,,,0.116898148
09:20.8,66437.749,376,,,0.115740741
09:20.9,66436.462,393,,,0.115740741
09:21.0,66436.818,391,,,0.115740741
09:21.1,66436.338,471,,,0.116898148
09:21.2,66437.033,415,,,0.115740741
09:21.3,66436.518,383,,,0.115740741
09:21.4,66437.213,398,,,0.115740741
09:21.5,66437.96,371,,,0.116898148
09:21.6,66437.153,383,,,0.115740741
09:21.7,66436.127,396,,,0.115740741
09:21.8,66437.514,396,,,0.115740741
09:21.9,66438.05,378,,,0.115740741
09:22.0,66436.072,374,,,0.116898148
09:22.1,66436.818,415,,,0.115740741
09:22.2,66438.565,408,,,0.115740741
09:22.3,66436.398,400,,,0.115740741
09:22.4,66435.166,376,,,0.116898148
09:22.5,66437.394,383,,,0.115740741
09:22.6,66437.269,417,,,0.115740741
09:22.7,66435.827,378,,,0.116898148
09:22.8,66437.454,386,,,0.115740741
09:22.9,66438.625,415,,,0.115740741
09:23.0,66437.028,415,,,0.116898148
09:23.1,66436.523,386,,,0.115740741
09:23.2,66437.869,381,,,0.115740741
09:23.3,66437.814,374,,,0.115740741
09:23.4,66437.003,422,,,0.116898148
09:23.5,66436.938,381,,,0.115740741
09:23.6,66437.604,386,,,0.115740741
09:23.7,66437.629,425,,,0.115740741
09:23.8,66436.493,410,,,0.116898148
09:23.9,66437.269,378,,,0.115740741
09:24.0,66437.994,376,,,0.115740741
09:24.1,66436.127,378,,,0.116898148
09:24.2,66436.553,393,,,0.115740741
09:24.3,66437.869,386,,,0.115740741
