BBB Time,Mag Vals,Lamor,,,
03:03.5,59313.146,337,,,0.115740741
03:03.6,59486.509,339,,,0.115740741
03:03.7,59683.271,391,,,0.115740741
03:03.8,59904.007,320,,,0.115740741
03:03.9,60926.014,337,,,0.116898148
03:04.0,59699.722,364,,,0.115740741
03:04.1,59658.275,349,,,0.115740741
03:04.2,59377.679,364,,,0.115740741
03:04.3,59947.234,359,,,0.115740741
03:04.4,59734.211,393,,,0.115740741
03:04.5,60345.541,342,,,0.115740741
03:04.6,58873.496,354,,,0.115740741
03:04.7,59400.304,371,,,0.116898148
03:04.8,58707.844,354,,,0.115740741
03:04.9,60012.758,330,,,0.115740741
03:05.0,58802.409,330,,,0.115740741
03:05.1,58858.683,366,,,0.115740741
03:05.2,58276.232,344,,,0.115740741
03:05.3,59815.508,352,,,0.115740741
03:05.4,59342.239,391,,,0.116898148
03:05.5,59373.815,383,,,0.115740741
03:05.6,59113.596,354,,,0.115740741
03:05.7,60433.774,327,,,0.115740741
03:05.8,59103.339,364,,,0.115740741
03:05.9,60353.741,339,,,0.116898148
03:06.0,59181.208,356,,,0.115740741
03:06.1,60061.43,356,,,0.115740741
03:06.2,59801.109,374,,,0.115740741
03:06.3,59643.606,334,,,0.115740741
03:06.4,59238.615,339,,,0.115740741
03:06.5,60057.269,366,,,0.116898148
03:06.6,59347.902,320,,,0.115740741
03:06.7,59776.654,352,,,0.115740741
03:06.8,59146.507,376,,,0.115740741
03:06.9,59624.353,342,,,0.115740741
03:07.0,58766.382,352,,,0.116898148
03:07.1,60005.295,364,,,0.115740741
03:07.2,60535.826,354,,,0.115740741
03:07.3,60911.138,356,,,0.115740741
03:07.4,60705.014,327,,,0.115740741
03:07.5,60144.209,332,,,0.115740741
03:07.6,61217.021,371,,,0.116898148
03:07.7,62499.729,332,,,0.115740741
03:07.8,63929.258,352,,,0.115740741
03:07.9,64235.418,334,,,0.115740741
03:08.0,63339.498,337,,,0.115740741
03:08.1,60448.038,347,,,0.115740741
03:08.2,60421.986,325,,,0.116898148
03:08.3,60814.758,364,,,0.115740741
03:08.4,60030.676,349,,,0.115740741
03:08.5,60320.45,369,,,0.115740741
03:08.7,60166.181,332,,,0.115740741
03:08.8,61324.798,349,,,0.116898148
03:08.9,62081.101,352,,,0.115740741
03:09.0,60218.718,369,,,0.115740741
03:09.1,59844.2,381,,,0.115740741
03:09.2,61234.945,334,,,0.115740741
08:28.7,66429.96,437,,,369.8275463
08:28.8,66428.969,403,,,0.116898148
08:28.9,66431.947,381,,,0.115740741
08:29.0,66427.462,386,,,0.115740741
08:29.1,66427.102,371,,,0.115740741
08:29.2,66426.015,396,,,0.115740741
08:29.3,66422.261,391,,,0.116898148
08:29.4,66430.591,391,,,0.115740741
08:29.5,66425.174,391,,,0.115740741
08:29.6,66425.39,386,,,0.115740741
08:29.7,66428.934,381,,,0.115740741
08:29.8,66427.858,371,,,0.115740741
08:29.9,66424.394,388,,,0.115740741
08:30.0,66424.484,388,,,0.115740741
08:30.1,66425.955,408,,,0.116898148
08:30.2,66427.072,408,,,0.115740741
08:30.3,66419.037,376,,,0.115740741
08:30.4,66424.549,364,,,0.115740741
08:30.5,66425.985,427,,,0.115740741
08:30.6,66425.09,405,,,0.115740741
08:30.7,66423.788,391,,,0.115740741
08:30.8,66421.325,383,,,0.116898148
08:30.9,66417.746,410,,,0.115740741
08:31.0,66423.943,381,,,0.115740741
08:31.1,66420.905,374,,,0.115740741
08:31.2,66422.466,383,,,0.115740741
08:31.3,66423.252,413,,,0.115740741
08:31.4,66420.815,369,,,0.116898148
08:31.5,66419.428,413,,,0.115740741
08:31.6,66420.274,396,,,0.115740741
08:31.7,66420.509,376,,,0.115740741
08:31.8,66419.884,361,,,0.115740741
08:31.9,66418.647,383,,,0.115740741
08:32.0,66418.677,420,,,0.116898148
