BBB Time,Mav Time,Mav Roll,Mav Pitch,Mav Yaw
00:01:42.395,75576,-0.016101889312267303,-0.03975597769021988,-0.4023575782775879
00:01:42.491,75672,-0.015934335067868233,-0.03959544003009796,-0.40236884355545044
00:01:42.596,75772,-0.016111714765429497,-0.03968916833400726,-0.4024338722229004
00:01:42.691,75872,-0.015723776072263718,-0.039989225566387177,-0.4026642143726349
00:01:42.791,75972,-0.01594078168272972,-0.03979375213384628,-0.4025493562221527
00:01:42.891,76072,-0.01591462269425392,-0.03939606994390488,-0.40270158648490906
00:01:42.991,76172,-0.015816854313015938,-0.03943455219268799,-0.40306636691093445
00:01:43.094,76274,-0.01576918549835682,-0.03969162702560425,-0.4029289484024048
00:01:43.191,76372,-0.015483522787690163,-0.03954339027404785,-0.4027853310108185
00:01:43.291,76472,-0.015694186091423035,-0.03929077833890915,-0.403104305267334
00:01:43.397,76577,-0.01560644805431366,-0.03918588161468506,-0.4033942222595215
00:01:43.492,76672,-0.015614336356520653,-0.039254143834114075,-0.4031499922275543
01:25:11.037,5061875,-0.02191738598048687,-0.053479939699172974,-0.3131904602050781
01:25:11.138,5061975,-0.022034548223018646,-0.05356946587562561,-0.3131745457649231
01:25:11.235,5062072,-0.02218477800488472,-0.0536147803068161,-0.31319698691368103
01:25:11.636,5062472,-0.02268632873892784,-0.053537800908088684,-0.31317469477653503
01:25:11.740,5062575,-0.022808197885751724,-0.05360829085111618,-0.31320396065711975
01:25:11.837,5062672,-0.022848792374134064,-0.05368129909038544,-0.3132150173187256
01:25:11.945,5062775,-0.022869493812322617,-0.053679585456848145,-0.3132573366165161
01:25:12.041,5062875,-0.022967975586652756,-0.05376037210226059,-0.31330814957618713
01:25:12.138,5062972,-0.022993089631199837,-0.05394880473613739,-0.31340181827545166
01:25:12.238,5063072,-0.02305755764245987,-0.0540882870554924,-0.3134481608867645
01:25:12.338,5063172,-0.023164555430412292,-0.054236479103565216,-0.3134617209434509
01:25:12.439,5063272,-0.023214738816022873,-0.05441103130578995,-0.31347525119781494
01:25:12.539,5063372,-0.023234806954860687,-0.054545022547245026,-0.3134891986846924
01:25:12.642,5063475,-0.023171989247202873,-0.05456356704235077,-0.3135107159614563
01:25:12.740,5063572,-0.0230583343654871,-0.0545634999871254,-0.31355220079421997
01:25:12.840,5063672,-0.022955764085054398,-0.05457572638988495,-0.3135548233985901
01:25:12.946,5063774,-0.022863216698169708,-0.05460139364004135,-0.3135402500629425
01:25:13.041,5063872,-0.022717999294400215,-0.054602399468421936,-0.3135715425014496
01:25:13.141,5063972,-0.022632522508502007,-0.05458247661590576,-0.3135948181152344
01:25:13.241,5064072,-0.02260248176753521,-0.05457768589258194,-0.3135937750339508
01:25:13.341,5064172,-0.022485749796032906,-0.054547473788261414,-0.31362083554267883
01:25:13.442,5064272,-0.02235112152993679,-0.05463973432779312,-0.3136579394340515
01:25:13.542,5064372,-0.022235479205846786,-0.054753124713897705,-0.31371009349823
01:25:13.643,5064472,-0.022128110751509666,-0.054923392832279205,-0.31373491883277893
01:25:13.746,5064575,-0.02201283909380436,-0.055075906217098236,-0.31372737884521484
01:25:13.843,5064672,-0.021984940394759178,-0.05517754703760147,-0.3137072026729584
01:25:13.947,5064772,-0.02186855860054493,-0.055223673582077026,-0.3137281537055969
01:25:14.044,5064872,-0.02176138199865818,-0.055234380066394806,-0.3137064278125763
01:25:14.147,5064975,-0.021728143095970154,-0.055298201739788055,-0.3137463927268982
01:25:14.244,5065072,-0.021692441776394844,-0.05530773103237152,-0.3137558698654175
01:25:14.347,5065175,-0.021624935790896416,-0.055331356823444366,-0.31381532549858093
01:25:14.445,5065272,-0.021584833040833473,-0.05541742593050003,-0.31387805938720703
01:25:14.546,5065372,-0.02157910168170929,-0.05549834668636322,-0.3138978183269501
01:25:14.645,5065472,-0.021489514037966728,-0.05561274290084839,-0.31391972303390503
01:25:14.749,5065575,-0.021458115428686142,-0.055702418088912964,-0.31396135687828064
01:25:14.846,5065672,-0.021397743374109268,-0.05568314343690872,-0.3139980137348175
01:25:14.952,5065777,-0.021364746615290642,-0.0556323304772377,-0.3140002489089966
01:25:15.049,5065875,-0.02133403718471527,-0.0556216686964035,-0.31402868032455444
01:25:15.150,5065975,-0.021337518468499184,-0.055591315031051636,-0.3140668272972107
01:25:15.250,5066074,-0.021398164331912994,-0.05555076152086258,-0.3140588700771332
01:25:15.350,5066174,-0.021461080759763718,-0.055504560470581055,-0.3140866160392761
01:25:15.451,5066275,-0.02147759310901165,-0.055468760430812836,-0.31407424807548523
01:25:15.554,5066377,-0.021483274176716805,-0.055408112704753876,-0.31408318877220154
01:25:15.648,5066472,-0.0214174035936594,-0.05529913306236267,-0.3140682876110077
01:25:15.749,5066572,-0.02138577029109001,-0.05519759654998779,-0.3140748143196106
01:25:15.849,5066672,-0.021256595849990845,-0.05507393926382065,-0.31407350301742554
01:25:15.953,5066772,-0.02113746665418148,-0.05499603599309921,-0.31408262252807617
01:25:16.053,5066875,-0.02118685655295849,-0.05491744726896286,-0.3141115605831146
01:25:16.153,5066974,-0.021269600838422775,-0.05489472299814224,-0.31412094831466675
01:25:16.251,5067072,-0.021418007090687752,-0.054797619581222534,-0.3141275644302368
01:25:16.354,5067175,-0.021579846739768982,-0.05473332852125168,-0.31410250067710876
01:25:16.454,5067275,-0.021697407588362694,-0.05466984212398529,-0.31414592266082764
01:25:16.555,5067375,-0.021811282262206078,-0.05462387949228287,-0.31414249539375305
01:25:16.652,5067472,-0.02187085710465908,-0.05452306568622589,-0.31418338418006897
