BBB Time,Mav Time,Mav Alt,Mav Lat,Mav Lon
02:54:35.643,14447963,59930,492562962,-1229224051
02:54:35.738,14448063,59930,492562962,-1229224053
02:54:35.838,14448163,59930,492562962,-1229224054
02:54:35.943,14448263,59920,492562962,-1229224054
02:54:36.038,14448365,59910,492562962,-1229224055
02:54:36.139,14448463,59910,492562963,-1229224055
02:54:36.244,14448563,59900,492562964,-1229224055
02:54:36.339,14448663,59900,492562964,-1229224056
02:54:36.445,14448763,59900,492562965,-1229224056
02:54:36.551,14448861,59900,492562966,-1229224056
02:54:36.639,14448961,59900,492562967,-1229224056
02:54:36.740,14449061,59900,492562967,-1229224057
02:54:42.755,14455063,59870,492563006,-1229224085
02:54:42.850,14455161,59870,492563010,-1229224085
02:54:42.955,14455263,59870,492563013,-1229224084
02:54:43.251,14455561,59870,492563020,-1229224085
02:54:43.354,14455663,59870,492563022,-1229224085
02:54:43.457,14455763,59870,492563024,-1229224086
02:54:43.557,14455861,59870,492563026,-1229224086
02:54:43.657,14455965,59860,492563027,-1229224087
02:54:43.752,14456061,59860,492563029,-1229224087
02:54:43.854,14456163,59860,492563031,-1229224088
02:54:43.957,14456263,59860,492563032,-1229224089
02:54:44.052,14456363,59860,492563034,-1229224090
02:54:44.152,14456461,59870,492563035,-1229224091
02:54:44.255,14456565,59860,492563036,-1229224092
02:54:44.352,14456661,59860,492563037,-1229224093
02:54:44.463,14456770,59860,492563039,-1229224094
02:54:44.563,14456861,59860,492563040,-1229224095
02:54:44.653,14456961,59860,492563041,-1229224097
02:54:44.753,14457063,59860,492563042,-1229224098
02:54:44.856,14457163,59860,492563043,-1229224100
02:54:44.951,14457261,59850,492563043,-1229224102
02:54:45.054,14457363,59850,492563044,-1229224104
02:54:45.156,14457463,59850,492563045,-1229224106
02:54:45.259,14457563,59840,492563046,-1229224108
02:54:45.359,14457663,59840,492563047,-1229224111
02:54:45.460,14457761,59840,492563047,-1229224113
02:54:45.555,14457861,59840,492563048,-1229224116
02:54:45.655,14457963,59840,492563049,-1229224119
02:54:45.755,14458061,59840,492563049,-1229224122
02:54:45.860,14458163,59840,492563050,-1229224126
02:54:45.960,14458263,59840,492563050,-1229224128
02:54:46.055,14458363,59840,492563050,-1229224133
02:54:46.155,14458461,59840,492563051,-1229224137
02:54:46.261,14458563,59830,492563051,-1229224141
02:54:46.361,14458663,59830,492563051,-1229224144
02:54:46.464,14458763,59830,492563051,-1229224149
02:54:46.561,14458861,59830,492563051,-1229224153
02:54:46.661,14458963,59830,492563050,-1229224158
02:54:46.756,14459061,59830,492563050,-1229224162
02:54:46.856,14459163,59830,492563050,-1229224166
02:54:46.961,14459263,59830,492563050,-1229224169
02:54:47.064,14459363,59830,492563050,-1229224174
02:54:47.157,14459463,59830,492563050,-1229224178
02:54:47.262,14459563,59830,492563050,-1229224183
02:54:47.362,14459663,59830,492563050,-1229224187
02:54:47.468,14459768,59830,492563050,-1229224191
02:54:47.562,14459861,59830,492563050,-1229224195
02:54:47.657,14459961,59830,492563050,-1229224198
02:54:47.763,14460063,59830,492563050,-1229224202
02:54:47.863,14460163,59830,492563049,-1229224206
02:54:47.958,14460261,59830,492563049,-1229224209
02:54:48.058,14460361,59830,492563049,-1229224213
02:54:48.163,14460468,59830,492563049,-1229224216
02:54:48.256,14460561,59830,492563049,-1229224219
02:54:48.358,14460661,59820,492563049,-1229224222
02:54:48.469,14460763,59820,492563049,-1229224226
02:54:48.564,14460861,59820,492563049,-1229224228
02:54:48.664,14460963,59820,492563049,-1229224231
02:54:48.761,14461063,59820,492563049,-1229224233
02:54:48.859,14461163,59830,492563049,-1229224236
02:54:48.959,14461261,59830,492563050,-1229224238
02:54:49.059,14461361,59830,492563050,-1229224239
02:54:49.159,14461461,59830,492563051,-1229224241
02:54:49.260,14461563,59840,492563051,-1229224244
02:54:49.360,14461663,59840,492563052,-1229224247
02:54:49.468,14461763,59850,492563053,-1229224249
02:54:49.565,14461863,59850,492563053,-1229224252
02:54:49.665,14461968,59860,492563054,-1229224254
02:54:49.760,14462063,59860,492563054,-1229224256
02:54:49.860,14462161,59870,492563055,-1229224258
02:54:49.965,14462263,59870,492563056,-1229224260
02:54:50.060,14462361,59870,492563057,-1229224262
02:54:50.161,14462463,59880,492563058,-1229224264
02:54:50.265,14462563,59890,492563059,-1229224266
02:54:50.365,14462663,59890,492563060,-1229224268
02:54:50.466,14462765,59890,492563061,-1229224270
02:54:50.569,14462861,59900,492563062,-1229224272
02:54:50.666,14462961,59900,492563063,-1229224273
02:54:50.761,14463061,59910,492563064,-1229224275
02:54:50.866,14463168,59910,492563064,-1229224277
02:54:50.966,14463263,59910,492563065,-1229224279
02:54:51.067,14463366,59910,492563064,-1229224281
02:54:51.167,14463463,59920,492563064,-1229224283
02:54:51.262,14463561,59920,492563065,-1229224285
02:54:51.362,14463663,59920,492563065,-1229224286
02:54:51.468,14463763,59920,492563065,-1229224287
02:54:51.560,14463861,59930,492563065,-1229224288
02:54:51.667,14463963,59930,492563065,-1229224289
02:54:51.762,14464061,59920,492563065,-1229224290
02:54:51.872,14464168,59920,492563065,-1229224291
02:54:51.963,14464263,59920,492563065,-1229224292
02:54:52.063,14464361,59920,492563065,-1229224294
02:54:52.167,14464463,59920,492563065,-1229224295
02:54:52.268,14464563,59910,492563065,-1229224297
02:54:52.368,14464663,59910,492563065,-1229224298
02:54:52.468,14464761,59910,492563065,-1229224299
02:54:52.568,14464861,59910,492563065,-1229224301
02:54:52.665,14464963,59900,492563065,-1229224302
02:54:52.763,14465061,59900,492563064,-1229224302
02:54:52.863,14465163,59900,492563064,-1229224303
02:54:52.968,14465263,59900,492563063,-1229224303
02:54:53.063,14465363,59890,492563062,-1229224304
02:54:53.161,14465461,59890,492563061,-1229224305
02:54:53.266,14465563,59890,492563060,-1229224305
02:54:53.363,14465661,59890,492563060,-1229224306
02:54:53.469,14465763,59880,492563059,-1229224306
02:54:53.574,14465863,59880,492563058,-1229224306
02:54:53.669,14465963,59870,492563056,-1229224307
02:54:53.762,14466063,59870,492563055,-1229224307
02:54:53.869,14466163,59860,492563054,-1229224308
02:54:53.969,14466263,59860,492563053,-1229224309
02:54:54.074,14466363,59860,492563053,-1229224309
02:54:54.169,14466463,59860,492563052,-1229224310
02:54:54.269,14466561,59860,492563051,-1229224311
02:54:54.365,14466663,59860,492563050,-1229224312
02:54:54.475,14466768,59850,492563049,-1229224313
02:54:54.575,14466863,59850,492563048,-1229224313
02:54:54.665,14466963,59850,492563047,-1229224314
02:54:54.765,14467061,59850,492563046,-1229224315
02:54:54.870,14467168,59850,492563045,-1229224315
02:54:54.970,14467263,59850,492563044,-1229224315
02:54:55.066,14467363,59850,492563043,-1229224316
02:54:55.171,14467463,59850,492563042,-1229224316
02:54:55.266,14467563,59840,492563041,-1229224316
02:54:55.366,14467661,59840,492563040,-1229224316
02:54:55.471,14467761,59840,492563040,-1229224317
02:54:55.573,14467861,59840,492563040,-1229224317
02:54:55.671,14467963,59840,492563039,-1229224317
02:54:55.771,14468063,59840,492563039,-1229224318
02:54:55.871,14468163,59840,492563039,-1229224318
02:54:55.967,14468263,59840,492563039,-1229224318
02:54:56.066,14468361,59840,492563038,-1229224318
02:54:56.172,14468463,59840,492563038,-1229224317
02:54:56.277,14468568,59850,492563037,-1229224317
02:54:56.367,14468661,59850,492563037,-1229224316
02:54:56.470,14468761,59850,492563036,-1229224316
02:54:56.570,14468861,59860,492563036,-1229224315
02:54:56.697,14468963,59860,492563036,-1229224315
02:54:56.784,14469061,59870,492563035,-1229224315
02:54:56.873,14469168,59870,492563034,-1229224314
02:54:56.968,14469261,59870,492563033,-1229224313
02:54:57.068,14469361,59880,492563033,-1229224313
02:54:57.173,14469463,59880,492563032,-1229224312
