BBB Time,Weeks,Secs
00:24:26.396,2157,242826900
00:24:26.449,2157,242827000
00:24:26.527,2157,242827100
00:24:26.624,2157,242827200
00:24:26.724,2157,242827300
00:24:26.825,2157,242827400
00:24:26.925,2157,242827500
00:24:27.025,2157,242827600
00:24:27.127,2157,242827700
00:24:27.227,2157,242827800
00:24:27.326,2157,242827900
00:24:27.428,2157,242828000
00:24:27.526,2157,242828100
00:24:27.627,2157,242828200
00:24:27.727,2157,242828300
00:24:27.828,2157,242828400
00:24:27.928,2157,242828500
00:24:28.031,2157,242828600
00:24:28.133,2157,242828700
00:24:28.230,2157,242828800
00:28:09.534,2157,243048800
00:28:09.753,2157,243048900
00:28:09.773,2157,243049000
00:28:10.036,2157,243049300
00:28:10.137,2157,243049400
00:28:10.237,2157,243049500
00:28:10.374,2157,243049600
00:28:10.440,2157,243049700
00:28:10.540,2157,243049800
00:28:10.640,2157,243049900
00:28:10.740,2157,243050000
00:28:10.873,2157,243050100
00:28:10.945,2157,243050200
00:28:11.044,2157,243050300
00:28:11.144,2157,243050400
00:28:11.245,2157,243050500
00:28:11.378,2157,243050600
00:28:11.445,2157,243050700
00:28:11.545,2157,243050800
00:28:11.762,2157,243050900
00:28:11.782,2157,243051000
00:28:11.883,2157,243051100
00:28:11.949,2157,243051200
00:28:12.052,2157,243051300
00:28:12.151,2157,243051400
00:28:12.250,2157,243051500
00:28:12.383,2157,243051600
00:28:12.451,2157,243051700
00:28:12.552,2157,243051800
00:28:12.651,2157,243051900
00:28:12.753,2157,243052000
00:28:12.886,2157,243052100
00:28:12.954,2157,243052200
00:28:13.056,2157,243052300
00:28:13.158,2157,243052400
00:28:13.255,2157,243052500
00:28:13.390,2157,243052600
00:28:13.458,2157,243052700
00:28:13.559,2157,243052800
00:28:13.776,2157,243052900
00:28:13.796,2157,243053000
00:28:13.893,2157,243053100
00:28:13.960,2157,243053200
00:28:14.061,2157,243053300
00:28:14.166,2157,243053400
00:28:14.265,2157,243053500
00:28:14.397,2157,243053600
00:28:14.464,2157,243053700
00:28:14.564,2157,243053800
00:28:14.666,2157,243053900
00:28:14.766,2157,243054000
00:28:14.898,2157,243054100
00:28:14.966,2157,243054200
00:28:15.066,2157,243054300
00:28:15.167,2157,243054400
00:28:15.271,2157,243054500
00:28:15.400,2157,243054600
00:28:15.473,2157,243054700
00:28:15.571,2157,243054800
00:28:15.788,2157,243054900
00:28:15.808,2157,243055000
00:28:15.903,2157,243055100
00:28:15.974,2157,243055200
00:28:16.073,2157,243055300
00:28:16.173,2157,243055400
00:28:16.274,2157,243055500
00:28:16.407,2157,243055600
00:28:16.476,2157,243055700
00:28:16.577,2157,243055800
00:28:16.677,2157,243055900
00:28:16.778,2157,243056000
00:28:16.911,2157,243056100
00:28:16.978,2157,243056200
00:28:17.082,2157,243056300
00:28:17.184,2157,243056400
00:28:17.282,2157,243056500
00:28:17.412,2157,243056600
00:28:17.481,2157,243056700
00:28:17.583,2157,243056800
00:28:17.802,2157,243056900
00:28:17.822,2157,243057000
00:28:17.915,2157,243057100
00:28:17.987,2157,243057200
00:28:18.088,2157,243057300
00:28:18.189,2157,243057400
00:28:18.287,2157,243057500
00:28:18.421,2157,243057600
00:28:18.489,2157,243057700
00:28:18.589,2157,243057800
00:28:18.690,2157,243057900
00:28:18.790,2157,243058000
00:28:18.923,2157,243058100
00:28:18.990,2157,243058200
00:28:19.092,2157,243058300
00:28:19.192,2157,243058400
00:28:19.295,2157,243058500
00:28:19.424,2157,243058600
00:28:19.496,2157,243058700
00:28:19.599,2157,243058800
00:28:19.814,2157,243058900
00:28:19.849,2157,243059000
00:28:19.927,2157,243059100
00:28:19.999,2157,243059200
00:28:20.099,2157,243059300
00:28:20.201,2157,243059400
00:28:20.301,2157,243059500
00:28:20.430,2157,243059600
00:28:20.502,2157,243059700
00:28:20.603,2157,243059800
00:28:20.704,2157,243059900
00:28:20.802,2157,243060000
00:28:20.911,2157,243060100
00:28:21.002,2157,243060200
00:28:21.103,2157,243060300
00:28:21.204,2157,243060400
00:28:21.304,2157,243060500
00:28:21.413,2157,243060600
00:28:21.506,2157,243060700
00:28:21.606,2157,243060800
00:28:21.827,2157,243060900
00:28:21.847,2157,243061000
00:28:21.915,2157,243061100
00:28:22.008,2157,243061200
00:28:22.109,2157,243061300
00:28:22.210,2157,243061400
00:28:22.311,2157,243061500
00:28:22.418,2157,243061600
00:28:22.511,2157,243061700
00:28:22.612,2157,243061800
00:28:22.718,2157,243061900
00:28:22.817,2157,243062000
00:28:22.920,2157,243062100
00:28:23.015,2157,243062200
00:28:23.115,2157,243062300
00:28:23.216,2157,243062400
00:28:23.317,2157,243062500
00:28:23.423,2157,243062600
00:28:23.520,2157,243062700
00:28:23.618,2157,243062800
00:28:23.838,2157,243062900
00:28:23.858,2157,243063000
00:28:23.925,2157,243063100
00:28:24.021,2157,243063200
00:28:24.122,2157,243063300
00:28:24.222,2157,243063400
00:28:24.322,2157,243063500
00:28:24.428,2157,243063600
00:28:24.524,2157,243063700
00:28:24.624,2157,243063800
00:28:24.728,2157,243063900
00:28:24.828,2157,243064000
00:28:24.930,2157,243064100
00:28:25.028,2157,243064200
00:28:25.128,2157,243064300
00:28:25.228,2157,243064400
00:28:25.329,2157,243064500
00:28:25.432,2157,243064600
00:28:25.534,2157,243064700
00:28:25.632,2157,243064800
00:28:25.855,2157,243064900
00:28:25.875,2157,243065000
00:28:25.935,2157,243065100
00:28:26.033,2157,243065200
00:28:26.134,2157,243065300
00:28:26.236,2157,243065400
00:28:26.335,2157,243065500
00:28:26.437,2157,243065600
00:28:26.536,2157,243065700
00:28:26.638,2157,243065800
00:28:26.740,2157,243065900
00:28:26.846,2157,243066000
00:28:26.940,2157,243066100
00:28:27.041,2157,243066200
00:28:27.142,2157,243066300
00:28:27.240,2157,243066400
00:28:27.339,2157,243066500
00:28:27.441,2157,243066600
00:28:27.545,2157,243066700
00:28:27.643,2157,243066800
00:28:27.862,2157,243066900
00:28:27.882,2157,243067000
00:28:27.947,2157,243067100
00:28:28.045,2157,243067200
00:28:28.146,2157,243067300
00:28:28.247,2157,243067400
00:28:28.347,2157,243067500
00:28:28.448,2157,243067600
00:28:28.548,2157,243067700
00:28:28.649,2157,243067800
00:28:28.752,2157,243067900
00:28:28.852,2157,243068000
00:28:28.954,2157,243068100
00:28:29.053,2157,243068200
00:28:29.154,2157,243068300
00:28:29.253,2157,243068400
00:28:29.355,2157,243068500
00:28:29.455,2157,243068600
00:28:29.558,2157,243068700
00:28:29.657,2157,243068800
00:28:29.876,2157,243068900
00:28:29.896,2157,243069000
00:28:29.958,2157,243069100
00:28:30.061,2157,243069200
00:28:30.160,2157,243069300
00:28:30.261,2157,243069400
00:28:30.362,2157,243069500
00:28:30.459,2157,243069600
00:28:30.563,2157,243069700
00:28:30.664,2157,243069800
00:28:30.764,2157,243069900
00:28:30.864,2157,243070000
00:28:30.965,2157,243070100
00:28:31.064,2157,243070200
00:28:31.167,2157,243070300
00:28:31.264,2157,243070400
00:28:31.368,2157,243070500
00:28:31.469,2157,243070600
00:28:31.570,2157,243070700
00:28:31.667,2157,243070800
00:28:31.888,2157,243070900
00:28:31.908,2157,243071000
00:28:31.973,2157,243071100
00:28:32.071,2157,243071200
00:28:32.172,2157,243071300
00:28:32.274,2157,243071400
00:28:32.371,2157,243071500
00:28:32.472,2157,243071600
00:28:32.573,2157,243071700
00:28:32.675,2157,243071800
00:28:32.778,2157,243071900
00:28:32.880,2157,243072000
00:28:32.977,2157,243072100
00:28:33.079,2157,243072200
00:28:33.180,2157,243072300
00:28:33.280,2157,243072400
00:28:33.379,2157,243072500
00:28:33.480,2157,243072600
00:28:33.581,2157,243072700
00:28:33.686,2157,243072800
00:28:33.904,2157,243072900
00:28:33.923,2157,243073000
00:28:33.991,2157,243073100
00:28:34.085,2157,243073200
00:28:34.183,2157,243073300
00:28:34.284,2157,243073400
00:28:34.388,2157,243073500
00:28:34.490,2157,243073600
00:28:34.584,2157,243073700
00:28:34.686,2157,243073800
00:28:34.800,2157,243073900
00:28:34.890,2157,243074000
00:28:34.989,2157,243074100
00:28:35.090,2157,243074200
00:28:35.191,2157,243074300
00:28:35.289,2157,243074400
00:28:35.390,2157,243074500
00:28:35.491,2157,243074600
00:28:35.592,2157,243074700
00:28:35.693,2157,243074800
00:28:35.912,2157,243074900
00:28:35.932,2157,243075000
00:28:35.994,2157,243075100
00:28:36.099,2157,243075200
00:28:36.197,2157,243075300
00:28:36.296,2157,243075400
00:28:36.397,2157,243075500
00:28:36.497,2157,243075600
00:28:36.598,2157,243075700
00:28:36.699,2157,243075800
00:28:36.801,2157,243075900
00:28:36.905,2157,243076000
00:28:37.001,2157,243076100
00:28:37.102,2157,243076200
00:28:37.203,2157,243076300
00:28:37.307,2157,243076400
00:28:37.403,2157,243076500
00:28:37.504,2157,243076600
00:28:37.604,2157,243076700
00:28:37.709,2157,243076800
00:28:37.925,2157,243076900
00:28:37.945,2157,243077000
00:28:38.007,2157,243077100
00:28:38.107,2157,243077200
00:28:38.210,2157,243077300
00:28:38.310,2157,243077400
00:28:38.409,2157,243077500
00:28:38.510,2157,243077600
00:28:38.611,2157,243077700
00:28:38.711,2157,243077800
00:28:38.814,2157,243077900
00:28:38.916,2157,243078000
00:28:39.016,2157,243078100
00:28:39.115,2157,243078200
00:28:39.217,2157,243078300
00:28:39.318,2157,243078400
00:28:39.419,2157,243078500
00:28:39.518,2157,243078600
00:28:39.620,2157,243078700
00:28:39.721,2157,243078800
00:28:39.938,2157,243078900
00:28:39.958,2157,243079000
00:28:40.023,2157,243079100
00:28:40.123,2157,243079200
00:28:40.225,2157,243079300
00:28:40.325,2157,243079400
00:28:40.425,2157,243079500
00:28:40.526,2157,243079600
00:28:40.627,2157,243079700
00:28:40.726,2157,243079800
00:28:40.831,2157,243079900
00:28:40.928,2157,243080000
00:28:41.029,2157,243080100
00:28:41.130,2157,243080200
00:28:41.231,2157,243080300
00:28:41.330,2157,243080400
00:28:41.431,2157,243080500
00:28:41.534,2157,243080600
00:28:41.633,2157,243080700
00:28:41.733,2157,243080800
00:28:41.950,2157,243080900
00:28:41.970,2157,243081000
00:28:42.035,2157,243081100
00:28:42.136,2157,243081200
00:28:42.237,2157,243081300
00:28:42.334,2157,243081400
00:28:42.437,2157,243081500
00:28:42.539,2157,243081600
00:28:42.639,2157,243081700
00:28:42.736,2157,243081800
00:28:42.841,2157,243081900
00:28:42.940,2157,243082000
00:28:43.042,2157,243082100
00:28:43.139,2157,243082200
00:28:43.243,2157,243082300
00:28:43.342,2157,243082400
00:28:43.443,2157,243082500
00:28:43.541,2157,243082600
00:28:43.646,2157,243082700
00:28:43.746,2157,243082800
00:28:43.963,2157,243082900
00:28:43.983,2157,243083000
00:28:44.048,2157,243083100
00:28:44.145,2157,243083200
00:28:44.250,2157,243083300
00:28:44.349,2157,243083400
00:28:44.450,2157,243083500
00:28:44.548,2157,243083600
00:28:44.649,2157,243083700
00:28:44.749,2157,243083800
00:28:44.852,2157,243083900
00:28:44.953,2157,243084000
00:28:45.055,2157,243084100
00:28:45.153,2157,243084200
00:28:45.252,2157,243084300
00:28:45.356,2157,243084400
00:28:45.455,2157,243084500
00:28:45.554,2157,243084600
