BBB Time,Mav Time,Mav Alt,Mav Lat,Mav Lon
00:18:57.950,3017861,45340,492563672,-1229224197
00:18:58.058,3017966,45340,492563672,-1229224197
00:18:58.154,3018063,45340,492563673,-1229224196
00:18:58.257,3018163,45340,492563673,-1229224195
00:18:58.363,3018269,45340,492563675,-1229224194
00:18:58.453,3018361,45330,492563676,-1229224193
00:18:58.557,3018466,45330,492563678,-1229224193
00:18:58.657,3018563,45330,492563680,-1229224192
00:18:58.760,3018663,45340,492563682,-1229224192
00:18:58.866,3018769,45340,492563684,-1229224192
00:18:58.957,3018861,45340,492563686,-1229224192
00:18:59.060,3018963,45340,492563689,-1229224193
00:19:20.898,3040666,45620,492563642,-1229224236
00:19:21.009,3040769,45620,492563641,-1229224237
00:19:21.200,3040969,45610,492563639,-1229224238
00:19:21.305,3041066,45610,492563638,-1229224238
00:19:21.399,3041161,45610,492563637,-1229224238
00:19:21.502,3041263,45600,492563636,-1229224238
00:19:21.604,3041366,45600,492563635,-1229224239
00:19:21.703,3041463,45600,492563634,-1229224239
00:19:21.801,3041561,45590,492563634,-1229224238
00:19:21.905,3041666,45590,492563632,-1229224238
00:19:22.013,3041769,45590,492563630,-1229224238
00:19:22.110,3041866,45590,492563628,-1229224238
00:19:22.204,3041961,45600,492563627,-1229224239
00:19:22.307,3042063,45600,492563625,-1229224239
00:19:22.408,3042163,45600,492563623,-1229224239
00:19:22.510,3042263,45600,492563621,-1229224240
00:19:22.607,3042361,45600,492563619,-1229224240
00:19:22.710,3042463,45600,492563617,-1229224241
00:19:22.813,3042569,45600,492563615,-1229224242
00:19:22.911,3042666,45600,492563613,-1229224242
00:19:23.017,3042764,45600,492563611,-1229224242
00:19:23.113,3042866,45600,492563610,-1229224243
00:19:23.213,3042961,45600,492563608,-1229224243
00:19:23.311,3043061,45600,492563607,-1229224243
00:19:23.415,3043163,45590,492563606,-1229224244
00:19:23.517,3043263,45590,492563605,-1229224244
00:19:23.613,3043361,45590,492563604,-1229224244
00:19:23.714,3043461,45590,492563603,-1229224244
00:19:23.817,3043563,45590,492563602,-1229224244
00:19:23.922,3043666,45590,492563600,-1229224244
00:19:24.029,3043771,45590,492563598,-1229224245
00:19:24.119,3043869,45590,492563595,-1229224245
00:19:24.222,3043968,45590,492563593,-1229224245
00:19:24.325,3044066,45590,492563590,-1229224245
00:19:24.418,3044163,45590,492563587,-1229224245
00:19:24.522,3044263,45590,492563584,-1229224245
00:19:24.620,3044361,45600,492563581,-1229224244
00:19:24.723,3044463,45600,492563579,-1229224244
00:19:24.823,3044569,45600,492563577,-1229224243
00:19:24.924,3044663,45610,492563576,-1229224242
00:19:25.035,3044769,45610,492563575,-1229224242
00:19:25.125,3044863,45610,492563573,-1229224241
00:19:25.226,3044963,45610,492563572,-1229224241
00:19:25.327,3045063,45620,492563570,-1229224240
00:19:25.427,3045166,45620,492563568,-1229224239
00:19:25.528,3045261,45620,492563567,-1229224238
00:19:25.626,3045361,45630,492563565,-1229224238
00:19:25.732,3045466,45630,492563563,-1229224237
00:19:25.833,3045566,45630,492563560,-1229224237
00:19:25.931,3045663,45630,492563558,-1229224237
00:19:26.032,3045761,45640,492563557,-1229224236
00:19:26.134,3045863,45640,492563555,-1229224236
00:19:26.233,3045963,45640,492563553,-1229224235
00:19:26.338,3046066,45640,492563552,-1229224234
00:19:26.431,3046161,45640,492563550,-1229224233
00:19:26.536,3046263,45640,492563549,-1229224233
00:19:26.633,3046361,45640,492563547,-1229224232
00:19:26.736,3046463,45640,492563545,-1229224232
00:19:26.836,3046566,45640,492563542,-1229224232
00:19:26.937,3046663,45640,492563539,-1229224232
00:19:27.042,3046763,45640,492563537,-1229224232
00:19:27.146,3046871,45640,492563534,-1229224232
00:19:27.236,3046961,45640,492563533,-1229224231
00:19:27.337,3047061,45630,492563530,-1229224231
00:19:27.440,3047163,45630,492563528,-1229224231
00:19:27.541,3047266,45630,492563526,-1229224231
00:19:27.639,3047361,45630,492563524,-1229224231
00:19:27.739,3047461,45630,492563523,-1229224232
00:19:27.847,3047566,45630,492563523,-1229224232
00:19:27.945,3047663,45630,492563523,-1229224233
00:19:28.047,3047766,45630,492563523,-1229224233
00:19:28.145,3047861,45630,492563522,-1229224234
00:19:28.243,3047961,45630,492563522,-1229224234
00:19:28.346,3048063,45630,492563521,-1229224234
00:19:28.449,3048166,45630,492563520,-1229224235
00:19:28.554,3048269,45630,492563518,-1229224235
00:19:28.648,3048369,45630,492563516,-1229224236
00:19:28.748,3048463,45630,492563514,-1229224237
00:19:28.849,3048566,45630,492563513,-1229224237
00:19:28.952,3048663,45630,492563512,-1229224238
00:19:29.055,3048766,45620,492563510,-1229224239
00:19:29.151,3048861,45620,492563508,-1229224239
00:19:29.259,3048966,45620,492563506,-1229224239
00:19:29.350,3049061,45620,492563505,-1229224240
00:19:29.450,3049161,45620,492563503,-1229224241
00:19:29.555,3049263,45620,492563501,-1229224241
00:19:29.652,3049361,45620,492563499,-1229224242
00:19:29.755,3049463,45620,492563497,-1229224242
00:19:29.856,3049563,45620,492563496,-1229224243
00:19:29.954,3049661,45620,492563495,-1229224243
00:19:30.057,3049763,45620,492563494,-1229224244
00:19:30.158,3049863,45620,492563493,-1229224244
00:19:30.256,3049961,45610,492563492,-1229224244
